,gens,fit_run_0,fit_run_1,fit_run_2,fit_run_3,fit_run_4,fit_run_5,fit_run_6,fit_run_7,fit_run_8,fit_run_9,fit_run_10,fit_run_11,fit_run_12,fit_run_13,fit_run_14,fit_run_15,fit_run_16,fit_run_17,fit_run_18,fit_run_19,fit_run_20,fit_run_21,fit_run_22,fit_run_23,fit_run_24,fit_run_25,fit_run_26,fit_run_27,fit_run_28,fit_run_29
0,0,5365118539.389071,5566159574.824549,5417278416.666411,5207086821.929552,5070429736.355583,5125561525.5829,5465299812.981065,5159082985.124554,5218207178.016059,5362863137.256333,5240889809.540121,5270244631.542215,4917628001.578764,5237691337.205124,5541051560.948292,5637021221.670676,5056011967.043156,4920359534.203447,5246403604.550765,5328609260.723991,5099646886.405337,5319640940.069586,5328650903.97807,5659535903.738546,5327080065.427638,4822175594.9789715,5275691860.030645,5249935360.102825,5408156910.281803,5410375799.428801
1,1,5113309799.385262,5100175647.97962,4739415229.820137,4355921107.847548,4968595300.553319,5044263142.792342,5171266541.653384,5060208571.237175,5128046451.846356,5362863137.256333,5427418728.038745,5202326409.604242,5330076512.083033,5237018310.388878,4459750710.045656,5514706377.636714,4947527174.768924,4315503080.173491,5221302466.553113,5267335519.667568,4896236138.467631,4711980960.3601675,5065235947.4522705,5136995936.053202,5327080065.427638,4489270513.881421,5275691860.030645,5249935360.102825,5116531878.040252,5208717877.711165
2,2,4891955512.731246,4991331167.288569,4742986918.06659,4355921107.847548,4612459148.428988,4404158785.412706,4874550272.2284565,4916209152.154934,4508432081.7948885,4939279021.030828,4996214293.9643545,4537752337.715056,4442332740.858379,4730994692.926412,4751363649.265321,5030388091.737345,4582308349.816135,4228047489.218133,4548197011.193933,4749303385.879025,4272561786.2703443,4711980960.3601675,4672504409.33596,4848739954.50779,4895549512.943432,3983821831.798976,4543778416.539303,4373579612.770331,4791944818.785248,4909134526.913342
3,3,4701500395.684571,4763571944.584568,4675550979.01518,4241036251.237879,4329733660.532389,4335945419.016833,4657506791.475334,4375520624.459216,4214222264.5670056,4667417893.446662,4717478056.730308,4457837707.593254,4322760100.771341,4515913493.940741,4634099611.865439,4591733897.31765,4582308349.816135,4176688280.9641533,4287919076.2327714,4329132276.927004,4272561786.2703443,4483423659.693331,4642143926.442064,4483973964.834273,4305776950.425541,4002415000.0613623,4229194342.339804,4184459783.321438,4555622494.110421,4283456032.8887024
4,4,4326316719.52898,4281997197.541587,4165700342.130077,3623558618.982259,4091502551.9223356,4362661753.765428,4033090595.2567143,3777579036.0786247,3541037779.608038,4340584591.016748,4546688263.701454,3841873996.9153485,4109742417.5114217,4327848078.616614,3996684146.4586773,4317766911.534475,3808862356.393288,4137751326.558472,4396681321.348196,4080373743.1936564,4271607245.688438,4286554402.7319655,3665610359.153381,4308718895.094967,4235663795.856451,3769982478.4698443,4161828395.4995894,4010726142.885719,4384575561.701529,4226998091.1604323
5,5,4326316719.52898,4281997197.541587,4104930488.6416125,3623558618.982259,4009202991.757906,4044244774.0839596,4133427204.914049,3777579036.0786247,3541037779.608038,3638879040.415552,4087192368.778623,3749804007.694153,3965105728.2736497,3936553444.0659027,3778901692.4162855,4268948756.6482916,3709259267.571554,3717522728.5662837,4200534246.2224455,3697319839.64969,3885900760.801996,3884319814.4662604,3665610359.153381,4170271683.8106976,3899449734.0597577,3661218543.754248,3742376110.0469337,4010726142.885719,4177036155.298667,3684749128.1596556
6,6,3850244881.0315857,3928376056.908644,3693259675.2569323,3623558618.982259,3639025565.2727184,3838974345.285612,4011671935.6113114,3777579036.0786247,3460069766.4241834,3411006418.534479,3818856937.2455683,3567190561.8249984,3693972843.6676884,3687161511.7941175,3472208126.0098557,4034930724.7537565,3572988113.9087806,3539833777.0478735,3896803470.252335,3668024937.521231,3586689205.1581078,3881153760.7701826,3450689704.403189,3836451393.5466127,3464394899.063593,3552359758.8918004,3516478782.3996,3945176363.454893,3911641224.4189754,3593617952.8775134
7,7,3850244881.0315857,3928376056.908644,3590154851.6525884,3534052384.171892,3639025565.2727184,3583277750.3766418,3694485749.283059,3645437478.7244697,3450410871.4901943,3411006418.534479,3534386731.7998066,3567190561.8249984,3602098982.99911,3656736416.596429,3472208126.0098557,3732795624.2376585,3501953878.630376,3467258288.0534945,3580731732.4102154,3463321667.953418,3586689205.1581078,3552766448.6972575,3450689704.403189,3707545236.9809155,3464394899.063593,3508236019.640047,3373942602.903481,3767595043.379739,3911641224.4189754,3557578576.717749
8,8,3651408618.362901,3711288981.878559,3512003703.4503174,3534052384.171892,3394237493.819722,3583277750.3766418,3625875233.4083204,3477532988.9096904,3361401216.2142854,3411006418.534479,3534386731.7998066,3539159199.54642,3545904261.223747,3572087659.838955,3422236866.920674,3467428970.0932636,3398148468.239857,3467258288.0534945,3580731732.4102154,3388862255.821679,3432948747.992536,3456676227.371579,3438567890.365367,3560406032.005256,3426239949.6264925,3381284837.839938,3373942602.903481,3689756998.627191,3797030183.6142535,3508212660.4828115
9,9,3397111894.947812,3559115405.921333,3543429487.821734,3439066200.510652,3394237493.819722,3533220444.8176103,3480434734.73636,3372649792.2484655,3363241862.535682,3382198555.302523,3534386731.7998066,3458239485.7856135,3481146898.1607757,3545886209.5888133,3422236866.920674,3467428970.0932636,3387402051.368347,3365172535.8649483,3440897343.0263457,3388862255.821679,3373836605.024442,3456676227.371579,3440763928.9370685,3494418167.22108,3369699831.9706078,3381284837.839938,3373942602.903481,3611963478.031961,3548086100.86196,3397992074.0846715
