,gens,fit_run_0,fit_run_1,fit_run_2,fit_run_3,fit_run_4,fit_run_5,fit_run_6,fit_run_7,fit_run_8,fit_run_9,fit_run_10,fit_run_11,fit_run_12,fit_run_13,fit_run_14,fit_run_15,fit_run_16,fit_run_17,fit_run_18,fit_run_19,fit_run_20,fit_run_21,fit_run_22,fit_run_23,fit_run_24,fit_run_25,fit_run_26,fit_run_27,fit_run_28,fit_run_29
0,0,549705177.6743077,806990128.5053968,648457711.7640289,547935071.4781263,741416791.9827114,622378596.6652042,536651556.9031396,675247093.7803137,603511438.0913291,539651016.1230724,1657404470.5545065,696625483.164391,561671529.5235324,1372549245.3777232,556642246.9788321,660326693.9616189,590437336.2461973,547237467.1231414,3235267321.1666455,536751221.7795877,689998051.7867852,862639044.8721069,804161250.8810058,846894951.2702671,1166847727.0429063,824260010.8880439,759207472.7268087,2775509946.822106,543564328.4565742,615282370.9601629
1,1,549705177.6743077,806990128.5053968,648457711.7640289,547935071.4781263,741416791.9827114,622378596.6652042,536651556.9031396,675247093.7803137,1380510216.1395745,539651016.1230724,876768041.8242848,537684811.2036042,561671529.5235324,1372549245.3777232,556642246.9788321,763787717.2811018,590437336.2461973,557064049.5552182,537265340.2334342,536751221.7795877,1070237863.538815,862639044.8721069,777965029.6879706,846894951.2702671,1166847727.0429063,695368320.1283121,759207472.7268087,915243416.943087,543564328.4565742,615282370.9601629
2,2,549705177.6743077,806990128.5053968,536928108.7507459,547935071.4781263,724055498.3267485,622378596.6652042,536651556.9031396,675247093.7803137,1380510216.1395745,539651016.1230724,876768041.8242848,537684811.2036042,561671529.5235324,1372549245.3777232,556642246.9788321,655881626.8728915,590437336.2461973,557064049.5552182,537265340.2334342,699863270.1188275,1070237863.538815,850614354.8257047,609760571.4725772,846894951.2702671,1166847727.0429063,695368320.1283121,552264576.7405565,1544953992.6948862,1396068221.6202707,970958047.9752781
3,3,549705177.6743077,806990128.5053968,536928108.7507459,547935071.4781263,724055498.3267485,622378596.6652042,536651556.9031396,675247093.7803137,566120889.2637886,539651016.1230724,876768041.8242848,537684811.2036042,561671529.5235324,544848971.5323747,556642246.9788321,655881626.8728915,590437336.2461973,557064049.5552182,537265340.2334342,699863270.1188275,1070237863.538815,850614354.8257047,804161250.8810058,846894951.2702671,1166847727.0429063,695368320.1283121,759207472.7268087,1544953992.6948862,855759102.8182226,970958047.9752781
4,4,538512801.9727168,637358248.8537539,536928108.7507459,547935071.4781263,724055498.3267485,622378596.6652042,536651556.9031396,675247093.7803137,566120889.2637886,539651016.1230724,876768041.8242848,537684811.2036042,561671529.5235324,544848971.5323747,556642246.9788321,655881626.8728915,543848519.7252747,557064049.5552182,536500055.6793,699863270.1188275,1070237863.538815,850614354.8257047,804161250.8810058,537233606.5018897,1166847727.0429063,624385019.4636952,759207472.7268087,1544953992.6948862,569684303.1462436,970958047.9752781
5,5,538512801.9727168,542316650.421299,536928108.7507459,547935071.4781263,737539359.6649861,622378596.6652042,536651556.9031396,675247093.7803137,566120889.2637886,539651016.1230724,876768041.8242848,537684811.2036042,561671529.5235324,544848971.5323747,556642246.9788321,655881626.8728915,590437336.2461973,557064049.5552182,536500055.6793,699863270.1188275,1070237863.538815,885129742.5989032,804161250.8810058,537233606.5018897,1166847727.0429063,624385019.4636952,573435237.8849349,837237610.8445687,569684303.1462436,970958047.9752781
6,6,538512801.9727168,637358248.8537539,536928108.7507459,547935071.4781263,741416791.9827114,622378596.6652042,536651556.9031396,675247093.7803137,566120889.2637886,539651016.1230724,876768041.8242848,537684811.2036042,561671529.5235324,544848971.5323747,556642246.9788321,655881626.8728915,588024406.1805035,557064049.5552182,536500055.6793,699863270.1188275,1070237863.538815,885129742.5989032,804161250.8810058,537233606.5018897,549418993.2200849,624385019.4636952,573435237.8849349,895292202.4180948,569684303.1462436,970958047.9752781
7,7,538512801.9727168,637358248.8537539,536928108.7507459,547935071.4781263,741416791.9827114,622378596.6652042,536651556.9031396,675247093.7803137,566120889.2637886,539651016.1230724,726223171.3711597,537684811.2036042,561671529.5235324,544848971.5323747,556642246.9788321,655881626.8728915,590437336.2461973,557064049.5552182,536500055.6793,699863270.1188275,1070237863.538815,885129742.5989032,804161250.8810058,537233606.5018897,906159889.2539827,624385019.4636952,573435237.8849349,895292202.4180948,569684303.1462436,970958047.9752781
8,8,538512801.9727168,637358248.8537539,536928108.7507459,547935071.4781263,741416791.9827114,622378596.6652042,536651556.9031396,675247093.7803137,566120889.2637886,539651016.1230724,543955420.3664136,537684811.2036042,561671529.5235324,544848971.5323747,556642246.9788321,655881626.8728915,590437336.2461973,536536531.9099554,536500055.6793,699863270.1188275,1070237863.538815,885129742.5989032,804161250.8810058,537233606.5018897,906159889.2539827,624385019.4636952,573435237.8849349,1544953992.6948862,569684303.1462436,970958047.9752781
9,9,538512801.9727168,637358248.8537539,536928108.7507459,547935071.4781263,741416791.9827114,622378596.6652042,536651556.9031396,675247093.7803137,566120889.2637886,539651016.1230724,851110001.87608,537684811.2036042,561671529.5235324,544848971.5323747,556642246.9788321,655881626.8728915,539497180.7769217,536536531.9099554,536500055.6793,699863270.1188275,1070237863.538815,885129742.5989032,804161250.8810058,537233606.5018897,673930407.3647131,558167400.9023166,573435237.8849349,548740397.2634116,569684303.1462436,970958047.9752781
