,gens,fit_run_0,fit_run_1,fit_run_2,fit_run_3,fit_run_4,fit_run_5,fit_run_6,fit_run_7,fit_run_8,fit_run_9,fit_run_10,fit_run_11,fit_run_12,fit_run_13,fit_run_14,fit_run_15,fit_run_16,fit_run_17,fit_run_18,fit_run_19,fit_run_20,fit_run_21,fit_run_22,fit_run_23,fit_run_24,fit_run_25,fit_run_26,fit_run_27,fit_run_28,fit_run_29
0,0,6937789625.337755,5379839045.57407,3558557517.933184,6721827963.734718,6642099393.2059555,6728605921.656681,7004702926.0084715,7179395680.608908,6474849219.348904,5299160433.76884,6891917692.5187435,6363326334.554214,6522889276.697332,6599065096.525055,6370630192.174521,6762918919.448392,6404137189.239947,5878490704.60045,6532617328.579835,6913608013.550431,4485386468.176411,5953618915.131622,6588984153.384582,6775978370.48609,6760550126.907819,6484984685.0213375,7241910129.6143675,6263325027.112676,6047170192.428005,3976438702.116954
1,1,3479041650.2120476,5782432394.171067,3558557517.933184,6388495114.639862,6424371986.101444,6051754854.855746,6075613386.041055,6044824067.404593,5690200687.515687,6370689339.946013,4190571930.0225763,6363326334.554214,6427501212.867622,5844105414.636296,6405677878.647552,6762918919.448392,6428519528.040523,5878490704.60045,6532617328.579835,6374473455.002699,3393671770.4756303,6383751836.980971,6588984153.384582,5887814210.283113,5494073197.2125,6380277443.830866,3505957255.1294527,5183769704.633986,5393402704.429316,3976438702.116954
2,2,3479041650.2120476,3498092781.9211955,440220271.0407707,2050115088.6932657,6393252424.855376,6051754854.855746,4825718210.348766,5768391519.674411,5609148830.1600685,6352836194.5302305,4190571930.0225763,3362129932.5793457,3365817190.4093895,4372819523.851667,3929688113.5462947,4698950838.652917,6110505234.7761965,5878490704.60045,5477207260.98512,6374473455.002699,3393671770.4756303,3505957255.1294527,1973606478.6702936,4696629992.0715475,5494073197.2125,4992122043.957307,3505957255.1294527,5183769704.633986,5393402704.429316,3976438702.116954
3,3,3304401097.5492873,3505957255.1294527,440220271.0407707,2050115088.6932657,6393252424.855376,6405239913.178496,2895207286.3351417,3754923483.8081355,5249932992.092938,4493436398.163885,10660620.939223314,3362129932.5793457,1189084060.9128366,4372819523.851667,3505957255.1294527,717958615.1798743,6110505234.7761965,2914659775.7057667,3397413788.5268383,6374473455.002699,3393671770.4756303,23950615.52318881,1973606478.6702936,1702013969.958169,3189816525.0942254,4992122043.957307,3505957255.1294527,4635866843.423367,4192494991.2412553,3976438702.116954
4,4,3304401097.5492873,3217703926.885004,235219401.7781092,2050115088.6932657,6367715021.396599,4896182811.493598,2895207286.3351417,5680685518.0337515,537834015.6450183,555568003.7171006,4190571930.0225763,1372692612.0069702,1189084060.9128366,1159055566.506088,3406466612.3578405,101239241.4171956,415555143.81685853,2005821263.3287005,4717877609.065294,3505957255.1294527,3393671770.4756303,23950615.52318881,3505957255.1294527,1702013969.958169,3223976143.7899613,3099704900.201423,2671858683.6138515,3505957255.1294527,1392498438.143248,1683347736.983814
5,5,2098577945.5517254,3217703926.885004,79266367.41571693,2050115088.6932657,3505957255.1294527,3505957255.1294527,2895207286.3351417,1776931353.2148914,537834015.6450183,3505957255.1294527,3505957255.1294527,3362129932.5793457,657291039.372643,2146332132.4698064,3406466612.3578405,717958615.1798743,415555143.81685853,2005821263.3287005,3505957255.1294527,3408224349.241019,3393671770.4756303,23950615.52318881,3505957255.1294527,1702013969.958169,2126882789.1795206,13722669.740133662,2543249830.358044,184199491.8878907,1392498438.143248,3045607152.2748804
6,6,2098577945.5517254,117940212.77485873,79266367.41571693,985083001.2680786,2277869640.8105335,3505957255.1294527,2102436025.0834472,1211148706.208106,296934900.1240429,551710132.0999117,3505957255.1294527,2694384277.4418254,198152175.81970108,164725673.29831442,3406466612.3578405,1390934985.9302316,47109978.560260125,156614266.68730897,3280549068.9646993,3505957255.1294527,3014648072.1724267,23950615.52318881,3505957255.1294527,1702013969.958169,2126882789.1795206,13722669.740133662,2543249830.358044,184199491.8878907,1392498438.143248,1934514286.4986641
7,7,2098577945.5517254,117940212.77485873,79266367.41571693,985083001.2680786,2277869640.8105335,3505957255.1294527,974314942.6755638,1211148706.208106,537834015.6450183,3505957255.1294527,2077603129.9855752,3362129932.5793457,339846718.5030463,164725673.29831442,3406466612.3578405,1390934985.9302316,47109978.560260125,156614266.68730897,3280549068.9646993,3505957255.1294527,3014648072.1724267,23950615.52318881,3505957255.1294527,1702013969.958169,2126882789.1795206,13722669.740133662,2543249830.358044,184199491.8878907,203375350.1552489,1934514286.4986641
8,8,1366868624.4388158,117940212.77485873,2562820.514332082,985083001.2680786,2277869640.8105335,2652982594.2189374,974314942.6755638,1211148706.208106,494353240.68724495,3505957255.1294527,2077603129.9855752,3362129932.5793457,339846718.5030463,164725673.29831442,3406466612.3578405,1390934985.9302316,47109978.560260125,17093590.319349155,2154393329.7081456,3505957255.1294527,3014648072.1724267,23950615.52318881,3505957255.1294527,1693564143.4428158,280710568.4533088,13722669.740133662,682709429.277311,29689063.85720597,203375350.1552489,1934514286.4986641
9,9,1366868624.4388158,117940212.77485873,2562820.514332082,985083001.2680786,341496696.542304,2652982594.2189374,797697872.4957936,810773376.0368997,96568706.5624671,3505957255.1294527,221720726.00488895,2298077434.6907415,112982462.44646735,164725673.29831442,3381763043.9794526,1390934985.9302316,26759639.376602005,233181.3820151347,2154393329.7081456,111432356.75320092,2947744116.9415326,23950615.52318881,3505957255.1294527,1693564143.4428158,280710568.4533088,13722669.740133662,682709429.277311,184199491.8878907,203375350.1552489,1653709582.2637093
