,gens,fit_run_0,fit_run_1,fit_run_2,fit_run_3,fit_run_4,fit_run_5,fit_run_6,fit_run_7,fit_run_8,fit_run_9,fit_run_10,fit_run_11,fit_run_12,fit_run_13,fit_run_14,fit_run_15,fit_run_16,fit_run_17,fit_run_18,fit_run_19,fit_run_20,fit_run_21,fit_run_22,fit_run_23,fit_run_24,fit_run_25,fit_run_26,fit_run_27,fit_run_28,fit_run_29
0,0,563274034.1244245,2683317152.0468593,2793453832.512481,537606325.3695382,443722603.1217583,647389224.9896189,563274034.1244245,2875170763.9995227,679449162.9744684,2250375120.3412766,1545858690.3714967,568409680.577358,239953837.7766576,861302868.1318113,559149426.4640834,590554472.9980569,546860773.654412,604777872.9305104,858443943.3017577,2558424563.6518745,587356898.6935256,645005338.3045486,996219895.339206,3505869076.544986,596143935.0909046,3489601534.907693,1469596505.398323,459944776.0374053,635846910.7026261,563274034.1244245
1,1,563274034.1244245,2823035716.715184,996219895.339206,961297004.9397033,443722603.1217583,861578398.7113284,775298464.4876748,1500745632.4877505,538151368.9514786,2250375120.3412766,996219895.339206,886018597.0343106,357985363.56604296,861302868.1318113,547155335.0051793,2826743763.0230255,494266464.6950573,550484161.466939,858443943.3017577,367739072.14760077,587356898.6935256,645005338.3045486,253875715.91733745,996219895.339206,3473286989.45571,1689748073.6322236,996219895.339206,550752632.8472106,547208436.5162454,647987652.7222451
2,2,2755518563.820462,833046276.1727759,996219895.339206,961297004.9397033,443722603.1217583,659218653.8163966,467159598.8791191,1004970001.115623,538151368.9514786,951937894.5066644,495585364.7939979,886018597.0343106,345325642.5095531,996219895.339206,8455661.727620922,792249154.3138705,538929511.2173923,532398721.5467846,553535597.5998212,15325488.337529957,587356898.6935256,645005338.3045486,252246615.26622936,856654909.4682611,1930947692.0143454,19350478.099811584,996219895.339206,545414592.50254,635846910.7026261,636625136.7683192
3,3,996219895.339206,795676120.79711,877353917.1444423,567084979.3181579,443722603.1217583,659218653.8163966,467159598.8791191,727990473.1156235,478091789.7009912,951937894.5066644,495585364.7939979,648721024.1615375,533579723.5228445,996219895.339206,547155335.0051793,792249154.3138705,487231614.32166517,548419789.5079182,911788291.2905838,15325488.337529957,565556861.1430703,481205583.3256365,15325488.337529957,1614416.6003587958,840887876.577235,689879611.2955819,973637681.8589408,545414592.50254,635846910.7026261,605556708.8799895
4,4,537158677.7447091,795676120.79711,761135740.7190902,567084979.3181579,411585482.82684517,588207256.5863268,73291310.02938943,996219895.339206,538151368.9514786,556870875.8862443,495585364.7939979,648721024.1615375,465153481.9533801,996219895.339206,284797178.5828817,798956358.0512484,489974800.67233884,549431388.1025405,987510964.3325652,15325488.337529957,15325488.337529957,481482244.79316366,563274034.1244245,7465944.488900377,840887876.577235,528003314.62364715,779536937.5468001,543782734.7872238,635846910.7026261,668590627.3088522
5,5,700590583.9801071,577771510.4689059,429643362.5483501,584641273.6749299,411585482.82684517,588207256.5863268,407252829.4293543,996219895.339206,538151368.9514786,536666936.2293203,15325488.337529957,612685654.0809063,465153481.9533801,996219895.339206,284797178.5828817,15325488.337529957,180093280.99331874,549431267.5661,224731818.15809628,715153892.5089432,15325488.337529957,255582188.25390166,563274034.1244245,7465944.488900377,491939330.6262728,689879611.2955819,779391874.239656,545414592.50254,563274034.1244245,594920218.7838529
6,6,700590583.9801071,350897178.0312205,353776438.4267955,566542214.6741751,411585482.82684517,468239622.31242317,252370532.7993781,996219895.339206,538151368.9514786,498996703.3627445,15325488.337529957,322480197.57634264,406110552.95327044,788070857.771843,41309658.03950279,15325488.337529957,485839674.9533969,516346778.2975513,343278520.3902711,715153892.5089432,15325488.337529957,478262357.93511003,15325488.337529957,7465944.488900377,491939330.6262728,689879611.2955819,563271462.3038644,467349547.64306295,563274034.1244245,594920218.7838529
7,7,700590583.9801071,362291557.6728734,353776438.4267955,15325488.337529963,443722603.1217583,445224315.32173616,16428804.898828544,250820238.91482955,425255996.4400457,454873083.10379297,15325488.337529957,322480197.57634264,406110552.95327044,253304748.28145814,10314279.75016186,15325488.337529957,489974800.67233884,518369289.8558233,343278520.3902711,632667080.3750985,403350075.0341947,478262357.93511003,15325488.337529963,6878309.695669182,491939330.6262728,252207570.11086655,680037138.9210078,467349547.64306295,563274034.1244245,541167041.8858379
8,8,15325488.337529963,138467898.59809655,15325488.337529963,15325488.337529963,447744419.9718083,281687032.82682234,16428804.898828544,230094647.4208004,232032272.44997,452476894.46552473,15325488.337529957,322480197.57634264,260924511.48505345,253304748.28145814,10314279.75016186,15325488.337529957,486648463.98021054,15325488.337529957,15325488.337529963,604542400.6683879,15325488.337529963,478262357.93511003,15325488.337529963,6878309.695669182,295415541.5492963,15325488.337529963,368519572.1111011,425601605.83118826,544518282.7540492,70844820.50509326
9,9,15325488.337529963,9057024.443140293,15325488.337529963,15325488.337529963,15325289.742578235,15325488.337529957,16428804.898828544,250810215.39688003,15325488.337529957,15325488.337529963,15325488.337529957,322480197.57634264,382133284.2661717,253304748.28145814,10314279.75016186,15325488.337529957,14263346.546007648,15325488.337529957,15325488.337529963,15325488.337529963,15325488.337529963,537934193.3903477,15325488.337529957,6878309.695669182,15321113.69956824,15325488.337529963,15325488.337529957,83522388.23244675,719089901.5551708,541167041.8858379
