,gens,fit_run_0,fit_run_1,fit_run_2,fit_run_3,fit_run_4,fit_run_5,fit_run_6,fit_run_7,fit_run_8,fit_run_9,fit_run_10,fit_run_11,fit_run_12,fit_run_13,fit_run_14,fit_run_15,fit_run_16,fit_run_17,fit_run_18,fit_run_19,fit_run_20,fit_run_21,fit_run_22,fit_run_23,fit_run_24,fit_run_25,fit_run_26,fit_run_27,fit_run_28,fit_run_29
0,0,2824265481.489332,1879633789.3298829,1157351134.9201803,1094119087.5818868,313370519.72573876,2956910748.241335,839899389.5520422,575665175.1362791,677299445.1361052,681605765.2421957,996219895.339206,3505957255.1294527,3031123478.3025975,827711013.4742599,550071012.1189214,589682087.5160574,3005389668.9980116,563274034.1244245,3505957255.1294527,3505869076.544986,688700952.3254489,620835089.3892747,996219895.339206,2543967335.337985,730805435.0448413,1691833773.399758,3505949939.5259275,2763912247.3929877,2774459504.5017967,563274034.1244245
1,1,2580914745.4090004,1869137392.2064126,1157351134.9201803,958932235.7326026,313370519.72573876,996219895.339206,839899389.5520422,656137174.5140319,677299445.1361052,681605765.2421957,996219895.339206,1468552764.5565128,996005179.5997277,827711013.4742599,550071012.1189214,124774062.31118046,2845462863.4976277,563274034.1244245,1572590940.1475308,996219895.339206,688700952.3254489,620835089.3892747,996219895.339206,809267416.6783702,730805435.0448413,1111556377.84526,598282127.5477072,1059857483.269773,756513595.6695716,573840625.9564435
2,2,2580914745.4090004,646614761.0883464,961547595.3942775,958932235.7326026,313370519.72573876,548486404.0981485,839899389.5520422,1115013917.3096738,677299445.1361052,681605765.2421957,412786931.3268023,996219895.339206,996005179.5997277,827711013.4742599,550071012.1189214,124774062.31118046,996537512.0521351,563274034.1244245,996219895.339206,996219895.339206,782701020.6500179,620835089.3892747,996219895.339206,809267416.6783702,730805435.0448413,649911446.685796,615423433.9707096,672654482.9259198,756513595.6695716,573840625.9564435
3,3,2580914745.4090004,704756017.7887688,996219895.339206,472375214.65361947,313370519.72573876,546581203.4887471,839899389.5520422,996219895.339206,677299445.1361052,681605765.2421957,412786931.3268023,996219895.339206,987510964.3325652,827711013.4742599,550071012.1189214,124774062.31118046,996142273.3410531,563274034.1244245,541349885.0412228,415098994.87247556,782701020.6500179,620835089.3892747,996219895.339206,15325488.337529963,730805435.0448413,828143054.3476492,615423433.9707096,672654482.9259198,756513595.6695716,15325488.337529963
4,4,2385644051.007352,538105707.9802033,588294940.4175675,472375214.65361947,313370519.72573876,546581203.4887471,15325488.337529957,1115013917.3096738,677299445.1361052,510422041.0028828,15325488.337529957,536529522.71489495,996005179.5997277,323491.91668928624,550071012.1189214,124774062.31118046,576950582.9554222,563274034.1244245,996219895.339206,415098994.87247556,782701020.6500179,249654749.634152,444938243.69757247,15325488.337529963,563274034.1244245,691890892.8475395,229356958.56835982,654201993.5610471,756513595.6695716,15325488.337529963
5,5,996219895.339206,15325488.337529957,302887043.7169163,15325488.337529957,313370519.72573876,249314808.99933892,15325488.337529957,394181688.22221214,677265369.2154841,510422041.0028828,15325488.337529957,15325488.337529957,15325488.337529957,323491.91668928624,550071012.1189214,124774062.31118046,15325488.337529963,50288660.44491853,996219895.339206,415098994.87247556,553994034.5718089,249654749.634152,264304279.75210875,15325488.337529963,15325488.337529957,563274034.1244245,229356958.56835982,654201993.5610471,756513595.6695716,15325488.337529963
6,6,595419848.3887341,15325488.337529957,15325488.337529957,15325488.337529957,15325488.337529957,249314808.99933892,15325488.337529957,394181688.22221214,674561248.8580832,10147707.051619373,15325488.337529957,15325488.337529957,15325488.337529957,323491.91668928624,550071012.1189214,124774062.31118046,15325488.337529963,50288660.44491853,944946405.368565,415098994.87247556,553994034.5718089,249643826.00207192,15325488.337529963,15325488.337529963,15325488.337529957,15325488.337529957,229356958.56835982,563274034.1244245,756513595.6695716,15325488.337529963
7,7,595419848.3887341,15325488.337529957,15325488.337529957,15325488.337529957,15325488.337529957,249314808.99933892,15325488.337529957,249563680.60636806,467783099.3830782,10147707.051619373,15325488.337529957,15325488.337529957,15325488.337529957,323491.91668928624,15325488.337529963,124774062.31118046,15325488.337529963,15325488.337529963,944946405.368565,15325488.337529957,15325488.337529957,15325488.337529957,15325488.337529963,15325488.337529963,15325488.337529957,15325488.337529957,229356958.56835982,551435602.9299895,249829341.7849819,15325488.337529963
8,8,595419848.3887341,15325488.337529957,15325488.337529957,15325488.337529957,15325488.337529957,249314808.99933892,15325488.337529957,249563680.60636806,467783099.3830782,10147707.051619373,15325488.337529957,14263346.546007648,15325488.337529957,323491.91668928624,15325488.337529963,138518.06615547108,15325488.337529963,15325488.337529963,538164398.5721667,15325488.337529957,15325488.337529957,15325488.337529957,15325488.337529963,14263346.546007648,15325488.337529957,15325488.337529957,229356958.56835982,551435602.9299895,249829341.7849819,15325488.337529963
9,9,486097468.9531597,15325488.337529957,15325488.337529957,15325488.337529957,15325488.337529957,249314808.99933892,15325488.337529957,249563680.60636806,467783099.3830782,10147707.051619373,15325488.337529957,14263346.546007648,13242379.524261603,323491.91668928624,15325488.337529963,138518.06615547108,14263346.546007648,15325488.337529963,15325488.337529957,14263346.546007648,15325488.337529957,15325488.337529957,15325488.337529963,14263346.546007648,15325488.337529957,15325488.337529957,172920402.9271789,15325488.337529957,15325488.337529957,15325488.337529963
