,gens,fit_run_0,fit_run_1,fit_run_2,fit_run_3,fit_run_4,fit_run_5,fit_run_6,fit_run_7,fit_run_8,fit_run_9,fit_run_10,fit_run_11,fit_run_12,fit_run_13,fit_run_14,fit_run_15,fit_run_16,fit_run_17,fit_run_18,fit_run_19,fit_run_20,fit_run_21,fit_run_22,fit_run_23,fit_run_24,fit_run_25,fit_run_26,fit_run_27,fit_run_28,fit_run_29
0,0,1190839449.8191764,677518494.0923152,537036417.5897491,780723965.1170801,644086430.8613685,573750252.1721365,957349588.8877696,656656862.437764,1046305911.3636217,576103349.594336,570110585.8491141,686774013.007992,542600611.3714569,700513409.9050369,1972543382.9685962,755420291.8632678,640338764.7668867,959498501.4268936,541998274.3020631,991718919.8840768,1072390645.9913489,554336505.4373914,1011219309.3828452,550134120.4692378,547935225.1464572,795165989.5327916,558435484.1836667,855822294.484971,569241215.6362301,805106615.3431264
1,1,579782871.6857988,613126741.9943514,537036417.5897491,780723965.1170801,644086430.8613685,573750252.1721365,720516773.4794027,656656862.437764,1046305911.3636217,576103349.594336,982992785.4182545,573032375.8628331,2949170818.103388,700513409.9050369,993728013.5303432,755420291.8632678,662639935.8569708,959498501.4268936,541998274.3020631,991718919.8840768,1042519908.5851055,554336505.4373914,547653231.1039248,550134120.4692378,395819212.79801595,1338453682.9319875,610381084.7805411,855822294.484971,569241215.6362301,1354451997.7723756
2,2,579782871.6857988,613126741.9943514,537036417.5897491,780723965.1170801,644086430.8613685,573750252.1721365,720516773.4794027,656656862.437764,583704125.6933028,576103349.594336,982992785.4182545,573032375.8628331,609807558.5467325,586624699.2151564,993728013.5303432,755420291.8632678,662639935.8569708,959498501.4268936,541998274.3020631,991718919.8840768,1230954000.5224674,554336505.4373914,547653231.1039248,537811133.2591507,883557741.848586,610113796.853592,570145353.574639,855822294.484971,569241215.6362301,1354451997.7723756
3,3,579782871.6857988,613126741.9943514,537036417.5897491,780723965.1170801,21434147.466096427,723870425.6248391,645790599.3025383,656656862.437764,1046305911.3636217,878048997.0762657,575530278.0444021,570346306.9057142,609807558.5467325,586624699.2151564,991497599.8860266,755420291.8632678,662639935.8569708,802787490.9801921,541998274.3020631,933306589.6569896,537715976.0150402,554336505.4373914,541459962.0056546,537811133.2591507,883557741.848586,610113796.853592,610381084.7805411,855822294.484971,569241215.6362301,620418467.0926839
4,4,579782871.6857988,942180670.2352391,537036417.5897491,582445151.5500417,21434147.466096427,723870425.6248391,957349588.8877696,656656862.437764,1046305911.3636217,777068611.6048733,982992785.4182545,573032375.8628331,609807558.5467325,586624699.2151564,991497599.8860266,755420291.8632678,662639935.8569708,802787490.9801921,541998274.3020631,933306589.6569896,537715976.0150402,554336505.4373914,547653231.1039248,537811133.2591507,883557741.848586,610113796.853592,610381084.7805411,855822294.484971,544744766.941534,694931958.7459102
5,5,540078114.8400139,540299379.3486062,537036417.5897491,582445151.5500417,21434147.466096427,581662686.3157566,957349588.8877696,548898392.9024881,551205706.7919106,777926153.9145344,1223667658.9679139,573032375.8628331,609807558.5467325,586624699.2151564,991497599.8860266,755420291.8632678,662639935.8569708,802787490.9801921,541998274.3020631,933306589.6569896,537715976.0150402,554336505.4373914,547653231.1039248,537811133.2591507,883557741.848586,610113796.853592,610381084.7805411,855822294.484971,544744766.941534,694931958.7459102
6,6,540078114.8400139,942180670.2352391,537036417.5897491,780723965.1170801,21434147.466096427,581662686.3157566,931348861.3477948,548898392.9024881,569021829.2467605,1012971640.6568959,1389823937.0865972,573032375.8628331,609807558.5467325,546417996.186357,557491434.7158402,552088668.1107174,662639935.8569708,802787490.9801921,541998274.3020631,591224806.0520926,537715976.0150402,554336505.4373914,547653231.1039248,537811133.2591507,703906075.6458423,610113796.853592,602035102.9626492,855822294.484971,544744766.941534,694931958.7459102
7,7,540078114.8400139,942180670.2352391,537036417.5897491,536542871.16055006,644086430.8613685,578885137.4578805,931348861.3477948,548898392.9024881,569021829.2467605,1012971640.6568959,823332210.1162945,538855726.8109765,609807558.5467325,546417996.186357,557491434.7158402,536516248.55803084,662639935.8569708,640334018.0020833,541998274.3020631,554421776.4453516,562385463.8602016,554336505.4373914,547653231.1039248,537811133.2591507,703906075.6458423,610113796.853592,537101178.4607291,855822294.484971,569241215.6362301,1304060320.6143684
8,8,579782871.6857988,942180670.2352391,537036417.5897491,536542871.16055006,644086430.8613685,578885137.4578805,607192772.3155233,548898392.9024881,569021829.2467605,992791050.253213,823332210.1162945,538855726.8109765,609807558.5467325,546417996.186357,557491434.7158402,552088668.1107174,662639935.8569708,640334018.0020833,541998274.3020631,554421776.4453516,536494100.1582666,540187936.0833453,547653231.1039248,537811133.2591507,703906075.6458423,610113796.853592,537101178.4607291,631087601.0704299,569241215.6362301,604813325.9185272
9,9,579782871.6857988,942180670.2352391,537036417.5897491,536542871.16055006,644086430.8613685,578885137.4578805,607192772.3155233,548898392.9024881,569021829.2467605,727235116.6898987,823332210.1162945,538855726.8109765,609807558.5467325,546417996.186357,557491434.7158402,552088668.1107174,662639935.8569708,640334018.0020833,541998274.3020631,554421776.4453516,536494100.1582666,554336505.4373914,547653231.1039248,537811133.2591507,703906075.6458423,610113796.853592,537101178.4607291,631087601.0704299,569241215.6362301,560327141.4229321
