,gens,fit_run_0,fit_run_1,fit_run_2,fit_run_3,fit_run_4,fit_run_5,fit_run_6,fit_run_7,fit_run_8,fit_run_9,fit_run_10,fit_run_11,fit_run_12,fit_run_13,fit_run_14,fit_run_15,fit_run_16,fit_run_17,fit_run_18,fit_run_19,fit_run_20,fit_run_21,fit_run_22,fit_run_23,fit_run_24,fit_run_25,fit_run_26,fit_run_27,fit_run_28,fit_run_29
0,0,799123642.5722473,558473051.5042814,3077727531.798333,687040067.2737586,561797418.3951099,1505289402.1819603,996219895.339206,2573058605.3817,617710144.6635062,2846455900.243536,2053601906.8967872,3505186888.4498663,1156564741.2378511,963760301.6531836,1195715588.4089277,1232459928.753445,996219895.339206,536917706.6349154,996219895.339206,1488205756.167646,898125749.810506,3325036119.362276,2043476534.2125673,702145668.5068932,3299240345.0510993,579829464.8175418,1196692055.9044638,679674682.6718633,835222426.7456076,697098267.2138482
1,1,794514287.5691943,558473051.5042814,3077727531.798333,687244340.8644762,561797418.3951099,1505289402.1819603,996219895.339206,2560771765.117707,617710144.6635062,996219895.339206,2053601906.8967872,2257076905.4305468,996219895.339206,963760301.6531836,996219895.339206,1609567952.7934535,996219895.339206,536917706.6349154,620990768.3207363,1290844997.4171822,898125749.810506,996219895.339206,881939162.9787679,809563662.3732108,996219895.339206,579829464.8175418,1196692055.9044638,683129055.6111923,835222426.7456076,697098267.2138482
2,2,358313704.49409324,996219895.339206,702173546.9912683,996219895.339206,498816317.28969955,1505289402.1819603,1685106488.1190841,1275326271.6185718,617710144.6635062,996219895.339206,1889372701.1746926,996136365.1223506,996219895.339206,591380516.6375113,996219895.339206,427504582.9339314,595140348.1080378,593921893.2479805,529609756.1646093,1121486000.5045736,996219895.339206,3017210167.0335555,881939162.9787679,594089550.684041,509285274.5349484,996219895.339206,987510964.3325652,683129055.6111923,835222426.7456076,697098267.2138482
3,3,358313704.49409324,651082120.178333,745932681.2686129,2821181904.7259436,498816317.28969955,995999685.784766,171694551.3308284,979575800.7029719,617710144.6635062,996219895.339206,938876914.2555865,640629613.8749232,996219895.339206,963760301.6531836,996219895.339206,996219895.339206,595140348.1080378,593921893.2479805,529609756.1646093,1007972662.2452992,537190408.9920108,2778894299.8326564,537753316.8526634,15325488.337529963,594782173.9113578,996219895.339206,987510964.3325652,683129055.6111923,835222426.7456076,983429461.9017556
4,4,358313704.49409324,987510964.3325652,709643360.0606247,2348167758.460895,498816317.28969955,995999685.784766,171694551.3308284,450915842.9628565,617060322.841564,970902352.1782931,938876914.2555865,640629613.8749232,536583052.96574914,15325488.337529957,996219895.339206,1774476397.3912866,595140348.1080378,593921893.2479805,831763685.5921239,905656079.3077233,537190408.9920108,984140880.2782232,537753316.8526634,44014823.31262532,594782173.9113578,996219895.339206,249309480.126389,15325488.337529957,835221153.5467337,697098267.2138482
5,5,108279416.44395843,15325488.337529957,705887866.1410583,2317640555.6981816,498816317.28969955,15325488.337529957,171694551.3308284,74214829.15984745,617060322.841564,676457657.557705,996219895.339206,536650500.44241023,536583052.96574914,15325488.337529957,256681452.09086898,361276605.2253827,595140348.1080378,593921893.2479805,831763685.5921239,899835855.8435625,536657141.2646858,14908176.07172169,374968770.5673195,15325488.337529963,594782173.9113578,630661380.3253922,249309480.126389,331410639.0218819,835202585.7812607,682675379.94348
6,6,108279416.44395843,15325488.337529957,705887866.1410583,2317640555.6981816,480853197.5862081,15325488.337529957,15325488.337529957,772098861.5051575,610286270.4504292,567023233.1525905,580471891.8847051,524677949.4568498,606720441.3338947,15325488.337529957,256681452.09086898,361276605.2253827,996219895.339206,593921893.2479805,523482618.9152271,182863713.9441759,536657141.2646858,14908176.07172169,374968770.5673195,15325488.337529957,563274034.1244245,490094957.65913534,15325488.337529957,15325488.337529957,801151378.246602,682675379.94348
7,7,108279416.44395843,15325488.337529957,15325488.337529963,996219895.339206,15325488.337529963,15325488.337529957,15325488.337529957,14263346.546007648,610286270.4504292,15325488.337529957,400674683.565507,524677949.4568498,265529375.67446193,15325488.337529957,15325488.337529957,361276605.2253827,633568800.0031165,593921893.2479805,523482618.9152271,182863713.9441759,15325488.337529963,14908176.07172169,275655709.6456693,8427931.237174075,250040897.24721885,15325488.337529957,15325488.337529957,15325488.337529957,835202585.7812607,682675379.94348
8,8,108279416.44395843,15325488.337529957,15325488.337529963,651260585.6256391,397826108.9623427,15325488.337529957,14124812.246286076,14263346.546007648,382839679.93184364,15325488.337529957,400674683.565507,365188001.5017272,265509374.25223583,15325488.337529957,15325488.337529957,361276605.2253827,15325488.337529963,563274034.1244245,434462108.474474,182863713.9441759,249354415.3001011,13860877.351729497,15325488.337529957,8427931.237174075,207074388.82044476,15325488.337529957,15325488.337529957,15325488.337529957,835202585.7812607,682675379.94348
9,9,108279416.44395843,15325488.337529957,15325488.337529963,15325488.337529963,15325488.337529963,15325488.337529957,14124812.246286076,14263346.546007648,382839679.93184364,15325488.337529957,15325488.337529957,69398111.61348057,15325488.337529963,15325488.337529957,15325488.337529957,361276605.2253827,15325488.337529963,563274034.1244245,434462108.474474,182863713.9441759,15325488.337529963,13860877.351729497,15325488.337529957,8427931.237174075,207074388.82044476,15325488.337529957,15325488.337529957,15325488.337529957,824305009.4876715,588634322.5207953
