,gens,fit_run_0,fit_run_1,fit_run_2,fit_run_3,fit_run_4,fit_run_5,fit_run_6,fit_run_7,fit_run_8,fit_run_9,fit_run_10,fit_run_11,fit_run_12,fit_run_13,fit_run_14,fit_run_15,fit_run_16,fit_run_17,fit_run_18,fit_run_19,fit_run_20,fit_run_21,fit_run_22,fit_run_23,fit_run_24,fit_run_25,fit_run_26,fit_run_27,fit_run_28,fit_run_29
0,0,6635770445.589222,6718568940.2582035,6735289341.189439,6352930469.480809,6616095144.075683,6759816968.802826,6208570407.287952,7223217573.996229,6460023224.26549,6178574575.310858,6702764845.905872,7320947010.032909,6976026942.331569,6003796628.607075,6652699327.342846,7153733117.070623,7156020620.827745,7012571000.136993,5659269658.73177,6459401778.959843,6383776134.87636,6550998170.311075,6265512965.836291,6382770852.102548,6456852307.020448,6159453091.852744,6020234641.028175,6426268987.543578,4895031985.137996,5782138516.600644
1,1,3505957255.1294527,842535397.5094639,6452176557.948245,2516699225.694505,6059319304.184414,6495615676.488191,5136158638.638452,6447796297.767055,5486664943.57496,3399567373.9617968,6492580432.806228,4975983971.2738285,1634619724.4558578,5922269712.956268,6462122027.539506,3505957255.1294527,6474434031.466366,6288561908.024889,4729360341.057523,4756290779.343937,6381325990.9727335,3425607244.554291,3681436048.9185677,5855534584.282821,4488274667.842098,4761885349.647218,5044567214.904909,6322144228.204982,4298506606.913432,4628154928.803424
2,2,3505957255.1294527,3413222296.514848,3651441970.424475,2516699225.694505,6059319304.184414,5459155379.471799,674224824.0048234,6285949391.1279545,4588624523.930026,3188133301.8750725,5277063234.917602,546785862.5320815,1634619724.4558578,1031768012.4612012,2583035148.1773057,958692041.8029239,3398006257.708281,3387217870.8885317,4328777077.0592375,3750107239.0112805,6328124865.37697,290224472.321929,3681436048.9185677,3505957255.1294527,5876227525.896211,976643113.4507668,6351703936.393771,3505957255.1294527,4298506606.913432,5648772928.282435
3,3,507840807.556305,2114202569.0632021,3651441970.424475,2516699225.694505,713724062.511599,5459155379.471799,674224824.0048234,4174206665.087882,4175066889.6197352,607946124.353446,5277063234.917602,546785862.5320815,1631778508.1059973,3505957255.1294527,228361574.25274307,2018316838.3562129,1832210765.7118986,1790415613.9161177,199580878.75294673,3180258843.4054084,869552951.4981308,290224472.321929,1509145699.9650755,3505957255.1294527,1725752363.0103552,976643113.4507668,3505957255.1294527,5368671086.814831,5235589994.97192,3381138914.8153944
4,4,78620172.6166289,2114202569.0632021,4798195.875098191,2516699225.694505,3505957255.1294527,3075028108.0392957,674224824.0048234,3980306666.853954,3505957255.1294527,62404893.265292495,5277063234.917602,2118836236.1967847,502969206.10404295,3505957255.1294527,1868627.2514410377,28999195.476086807,5783674034.569649,14845790.616570769,199580878.75294673,3180258843.4054084,869552951.4981308,290224472.321929,400131922.67404616,3505957255.1294527,5241601390.175601,1512842967.4647286,3505957255.1294527,3505957255.1294527,148613720.7864666,3381138914.8153944
5,5,78620172.6166289,2114202569.0632021,4798195.875098191,2516699225.694505,1150846229.2837105,4241602350.282813,674224824.0048234,3465115592.159291,1586410143.3703873,62404893.265292495,4126361798.916931,3505957255.1294527,502969206.10404295,3505957255.1294527,1550490993.3181057,28999195.476086807,2160361113.8484845,543383887.3943669,199580878.75294673,3043067523.774299,869552951.4981308,290224472.321929,400131922.67404616,653270249.0910197,8528773.437133659,1512842967.4647286,3505957255.1294527,3505957255.1294527,2321949993.6051393,3381138914.8153944
6,6,78620172.6166289,2114202569.0632021,4798195.875098191,1446414754.89449,1150846229.2837105,1680836928.5494988,674224824.0048234,3465115592.159291,1586410143.3703873,174472734.14440072,4126361798.916931,2576684030.3797264,502969206.10404295,3505957255.1294527,3505957255.1294527,28999195.476086807,2160361113.8484845,543383887.3943669,199580878.75294673,3043067523.774299,869552951.4981308,290224472.321929,400131922.67404616,3362496952.8282404,8528773.437133659,976643113.4507668,3505957255.1294527,3505957255.1294527,398651466.8183214,3381138914.8153944
7,7,78620172.6166289,2114202569.0632021,4798195.875098191,1446414754.89449,1150846229.2837105,1680836928.5494988,674224824.0048234,3465115592.159291,1586410143.3703873,174472734.14440072,3505957255.1294527,2576684030.3797264,408119055.735311,3188846805.935347,268344967.94844097,2018316838.3562129,388488017.0282418,20123585.60869879,199580878.75294673,2462721535.207398,869552951.4981308,290224472.321929,400131922.67404616,761846605.8231899,179945984.6364129,16139941.867599336,3505957255.1294527,2659843.0252305795,133199688.4633986,3343942380.9312587
8,8,78620172.6166289,2114202569.0632021,2765148109.649691,1322869010.9648542,1150846229.2837105,21396.00548205269,674224824.0048234,1531571406.208002,1586410143.3703873,174472734.14440072,3505957255.1294527,1987192691.118411,502969206.10404295,14655265.26175927,268344967.94844097,2018316838.3562129,388488017.0282418,20123585.60869879,199580878.75294673,2462721535.207398,783048094.7643847,290224472.321929,400131922.67404616,761846605.8231899,8173733.781089406,16139941.867599336,565774311.4399732,2659843.0252305795,133199688.4633986,3343942380.9312587
9,9,6805302.353905031,2114202569.0632021,133533.80749811808,1322869010.9648542,1150846229.2837105,21396.00548205269,674224824.0048234,1531571406.208002,1179854320.151228,566204549.463272,1284684006.16697,1390002313.389106,502969206.10404295,65748009.14268403,3505957255.1294527,536509779.297777,2160361113.8484845,20123585.60869879,199580878.75294673,1658527789.0057971,783048094.7643847,52388943.75884935,400131922.67404616,735343973.6445701,8173733.781089406,976643113.4507668,565774311.4399732,2659843.0252305795,133199688.4633986,3343942380.9312587
10,10,6805302.353905031,2114202569.0632021,133533.80749811808,2111439.9390643537,1150846229.2837105,21396.00548205269,540350876.0709548,1531571406.208002,1508181099.4257748,382064143.90229106,1284684006.16697,1390002313.389106,122214391.82617603,65748009.14268403,214411802.02430373,117048642.80950087,2160361113.8484845,20123585.60869879,199580878.75294673,1658527789.0057971,783048094.7643847,52388943.75884935,400131922.67404616,735343973.6445701,8173733.781089406,948860764.4100746,565774311.4399732,2659843.0252305795,632688470.8796474,3343942380.9312587
11,11,6805302.353905031,2114202569.0632021,133533.80749811808,2111439.9390643537,190186180.48297843,21396.00548205269,540350876.0709548,1531571406.208002,605467862.3587567,15472710.541482132,1284684006.16697,613959.1866894747,502969206.10404295,65748009.14268403,214411802.02430373,117048642.80950087,2074705.48613479,20123585.60869879,199580878.75294673,1658527789.0057971,783048094.7643847,290224472.32192886,400131922.67404616,735343973.6445701,8173733.781089406,948860764.4100746,565774311.4399732,2659843.0252305795,2305627115.399753,3343942380.9312587
12,12,6805302.353905031,1105280105.024306,133533.80749811808,2111439.9390643537,1150846229.2837105,21396.00548205269,241848240.0075609,1531571406.208002,1586410143.3703873,15472710.541482132,290911513.50776845,613959.1866894747,502969206.10404295,65748009.14268403,214411802.02430373,117048642.80950087,2074705.48613479,20123585.60869879,199580878.75294673,1658527789.0057971,783048094.7643847,290224472.32192886,400131922.67404616,735343973.6445701,1707807291.1122775,948860764.4100746,565774311.4399732,2659843.0252305795,693269351.479281,3343942380.9312587
13,13,6805302.353905031,1006681909.3064849,133533.80749811808,2111439.9390643537,1150846229.2837105,21396.005482051954,540350876.0709548,1531571406.208002,1586410143.3703873,15472710.541482132,735863015.767178,613959.1866894747,502969206.10404295,65748009.14268403,214411802.02430373,1176868049.9891021,2074705.48613479,20123585.60869879,199580878.75294673,1658527789.005797,38241655.726679556,73029169.5064793,400131922.67404616,735343973.6445701,1707807291.1122775,626022791.3444163,545598225.9322925,2659843.0252305795,693269351.479281,3343942380.9312587
