,gens,fit_run_0,fit_run_1,fit_run_2,fit_run_3,fit_run_4,fit_run_5,fit_run_6,fit_run_7,fit_run_8,fit_run_9,fit_run_10,fit_run_11,fit_run_12,fit_run_13,fit_run_14,fit_run_15,fit_run_16,fit_run_17,fit_run_18,fit_run_19,fit_run_20,fit_run_21,fit_run_22,fit_run_23,fit_run_24,fit_run_25,fit_run_26,fit_run_27,fit_run_28,fit_run_29
0,0,5245639005.172,5511616188.770765,4999462623.037107,5430182184.393484,4916646363.719953,5519264571.787772,5195564289.983384,5329045554.159068,5040921211.439109,5449271121.170289,5477666698.349599,5389173283.423437,4938975246.936823,4553257151.490992,5145898180.102937,5454383360.808752,4937039625.215393,5538562282.476409,5658897828.627285,4915741041.572758,5477497331.903499,4906554994.590533,5509767117.463153,4951303670.209699,5546932857.299457,4930101768.210734,5468171183.856009,5514271071.9184,5152772514.46335,5021585730.882896
1,1,5159471799.396366,5411852720.341474,4992540202.600112,4808676072.845035,4916646363.719953,4118588920.6439404,4555953415.628956,5216218240.846974,5085235925.999148,4988507549.824501,4619641650.812387,4927731767.316461,4938975246.936823,4919499847.849194,4616105357.624454,4735535521.574305,4558233442.394458,4891871506.715789,4908787524.15023,4800146724.504417,4750750257.199837,4875303079.3514805,4937621275.725443,4553596835.477867,4778981236.340813,4553093595.0117,5103971451.884586,4749262224.370993,5152772514.46335,5021585730.882896
2,2,4705808221.139785,4934119243.204594,4610498561.097244,4671454789.324486,4660695457.0159855,4744383577.649143,4555953415.628956,5090220498.88953,4709254962.848002,4668638449.740946,4619641650.812387,4522382139.208938,4773029049.992428,4387712136.46999,4616105357.624454,4222590760.0752425,4445072483.474153,4503969047.385206,4662581838.341187,4456265451.931269,4331393302.415665,4788044312.723705,4532266870.2217045,4553596835.477867,4763324469.508647,4519681113.688992,4776384339.056917,4490002256.880708,5022505596.2428465,4796899667.27608
3,3,4705808221.139785,4437541980.2405,4314103723.780373,4165710306.794409,4138352352.752785,4340258061.333467,4243435131.638742,4407608648.923508,4255950032.360614,4140722712.871214,4440993710.279213,4257126198.7546263,3985226833.8264174,4387325543.125965,4363756222.628586,4096927552.959013,4255186472.716282,4149286043.639265,4446168209.975036,4456265451.931269,4331393302.415665,4749899908.830067,4199405886.769814,4173732643.871327,4345321709.858246,4017540673.2904778,4595324631.858247,4129625939.1371784,4460175891.755643,4125100405.202621
4,4,4486633397.417829,4082149743.199181,3977880877.340529,4155370330.304947,3745868581.9988637,3756113097.8464413,3743787990.3628955,3979049109.260398,4141736568.1565385,4134134487.866001,4096148872.00836,3971710038.955863,3967364128.769725,4021817716.0798573,4141629932.223802,3900783331.985779,3954138630.2008758,4007424427.3603387,4012340897.6788564,4306978479.760349,4272019495.4648485,4327471473.27559,4145166262.8802657,4114444430.1378736,3897861535.101576,4017540673.2904778,4152103649.4600706,3933208565.998007,4185882831.798967,3966071268.5238957
5,5,4039743743.0814056,3991920956.911478,3896327295.796421,3836086955.068012,3467245663.561817,3756113097.8464413,3743787990.3628955,3635483842.8931866,4012617611.7582335,3931477344.8499446,3739634931.5447083,3971710038.955863,3823105636.9312196,3749912169.0277925,3892995239.421666,3459338219.159393,3954138630.2008758,3796230732.1812425,4012340897.6788564,4020481159.95135,3907441471.9146886,4253276468.5376024,3938873115.845083,4050804558.4189677,3896408561.4335456,3864916660.505716,4152103649.4600706,3782136210.5600543,3710025345.908085,3574613204.1626325
6,6,3646781862.625608,3785799801.8763146,3899844756.8490343,3793914288.059553,3467245663.561817,3751449601.8232384,3659383214.772873,3635483842.8931866,3842727609.078,3858677197.7479773,3574093455.926468,3724347631.0370574,3801263022.455382,3834454323.8727894,3696189032.1378064,3459338219.159393,3714057003.822265,3622159143.1622467,3695529797.7359962,3778477266.943097,3739072670.635587,3562508787.761754,3638328411.124752,3603078298.4198656,3702034023.57664,3612559399.8554335,3851280222.5070868,3702831892.647925,3728374582.7881947,3574613204.1626325
7,7,3565236708.8126497,3700349007.319128,3730773813.5478196,3627476011.169156,3467245663.561817,3544233994.3418126,3464759107.2697697,3539288627.3712378,3669621760.886985,3656425801.1834364,3521408402.342729,3660491097.058487,3712287365.611566,3671026439.4946856,3550680977.363212,3465221306.0959535,3470245844.40516,3561054392.7444334,3681793859.9744544,3769585471.3923535,3739072670.635587,3562508787.761754,3638328411.124752,3521579304.00888,3606417153.017309,3553205099.006742,3631279337.2648225,3425190874.434468,3569602584.3815923,3433443031.977964
8,8,3565236708.8126497,3659851294.490348,3640736294.735467,3420775196.1258616,3457681002.412223,3523983580.937685,3422765843.537373,3512252619.726303,3445155708.7941585,3583618027.582702,3366008856.36456,3439249702.897808,3519613070.1235933,3544207065.057862,3541517599.959461,3451915202.9375515,3361680383.3555326,3500734168.917993,3480601492.860242,3634729551.676195,3616533977.5674605,3562508787.761754,3550200716.4048223,3479974119.9379106,3557719509.83035,3408261491.2370677,3631279337.2648225,3425190874.434468,3480613049.0732408,3364108002.6729155
9,9,3435223013.643969,3416717462.160752,3569662108.36089,3367634993.409048,3396140279.3920426,3427231057.3561873,3395621258.420421,3426691858.7421594,3445155708.7941585,3520082496.390328,3366008856.36456,3445114403.3562694,3512721635.037907,3489346387.573535,3382605921.6132216,3361501637.318056,3361680383.3555326,3399773970.432103,3480601492.860242,3620604992.420024,3541774913.5644665,3492098922.414316,3428753099.0799437,3479974119.9379106,3532723320.2565417,3361671101.430695,3367958727.787286,3425190874.434468,3433845678.564063,3363536378.2014923
10,10,3355398729.178332,3416717462.160752,3466195029.074411,3367634993.409048,3366018134.342474,3363675716.9327006,3361733715.741229,3426691858.7421594,3402953551.9426966,3382441685.47764,3374295280.762782,3371093861.1950164,3405800300.0600195,3387965384.615163,3377657196.617362,3382732152.2642865,3360401702.1833806,3364164806.3167157,3363248297.674789,3454527350.971501,3468001239.6822343,3430539250.8164754,3428753099.0799437,3397045211.403015,3443714465.222678,3361671101.430695,3367958727.787286,3414431928.49859,3433845678.564063,3354824173.6892004
11,11,3355398729.178332,3416717462.160752,3395627592.9847145,3353705136.280474,3361471938.654094,3361813821.0082073,3364652975.780625,3374440502.8033752,3402953551.9426966,3361573022.317529,3367415668.700273,3371093861.1950164,3402819908.1406384,3376326536.1385994,3377657196.617362,3374247596.865917,3354897735.579457,3364164806.3167157,3363248297.674789,3387372838.4015765,3437042135.8320656,3392183056.929819,3428753099.0799437,3379613332.404696,3402303725.5787215,3361671101.430695,3367958727.787286,3396624064.3487535,3357883469.3090234,3354824173.6892004
12,12,3353785792.39231,3416717462.160752,3389901993.224042,3361601229.6256013,3361471938.654094,3361341208.249702,3362496564.7134094,3361401706.841513,3383217405.7999682,3361404167.6993785,3361759916.0524774,3357784932.46613,3389570552.749771,3366596346.0547543,3370769722.6174626,3369003737.9029875,3354724414.553934,3364164806.3167157,3363248297.674789,3387372838.4015765,3406441540.754506,3380738609.2966743,3361598365.323941,3373421991.411255,3384540176.4853344,3361423701.597061,3367958727.787286,3397417999.77553,3357883469.3090234,3354153426.6596575
13,13,3353785792.39231,3371470971.2311277,3362256290.8617387,3357051964.988427,3353703375.7128625,3361341208.249702,3362009107.603054,3361401706.841513,3361448891.265237,3361573022.317529,3356703824.3456354,3354843079.581817,3371361429.717802,3366596346.0547543,3362697796.119682,3357754291.846606,3353745180.4490266,3364164806.3167157,3362063509.7311726,3372843169.772833,3361985881.0200953,3371593807.1591854,3361551571.8616066,3367897022.2318687,3361812926.266314,3361410417.721257,3361569634.033371,3362149269.5878115,3353731819.16034,3354153426.6596575
14,14,3353785792.39231,3366994060.786446,3362122541.960798,3354707039.879622,3353703375.7128625,3361341208.249702,3358130062.3139973,3361401706.841513,3361426386.709975,3357706829.675252,3353990627.422196,3353921399.3133755,3361670825.98422,3362942237.210449,3361518681.6969233,3357754291.846606,3353947348.1545715,3364164806.3167157,3361400347.5491004,3364157035.4249363,3361488178.9381313,3366085523.125183,3361413849.9415226,3361695674.0404453,3361812926.266314,3356443460.7108607,3361569634.033371,3361861540.920273,3353731819.16034,3353704257.974753
15,15,3353785792.39231,3363956065.840234,3361649167.8897004,3354032681.952691,3353703375.7128625,3361341208.249702,3358130062.3139973,3357818738.682874,3361426386.709975,3361573022.317529,3353711245.084187,3353921399.3133755,3361432151.1603856,3356568232.5412335,3361591558.7243223,3357754291.846606,3353947348.1545715,3361689285.8473887,3361400347.5491004,3361937756.4398456,3361407468.088126,3361416010.4221783,3361413849.9415226,3361605562.928028,3361459556.7605586,3356443460.7108607,3360633895.465279,3361635112.366547,3353731819.16034,3353704257.974753
16,16,3353785792.39231,3366176183.6200557,3361400954.3264375,3353736151.907271,3353703375.7128625,3353703509.532011,3356214674.795613,3357818738.682874,3361402076.655565,3361557257.088728,3353711245.084187,3353713955.046131,3361432151.1603856,3361407040.1622334,3361533400.5541124,3357754291.846606,3353703765.021923,3361486371.808334,3361400347.5491004,3361491385.4959636,3361407468.088126,3361416010.4221783,3356950896.8952436,3361605562.928028,3361459556.7605586,3356443460.7108607,3360132360.2461762,3361406722.416268,3353731819.16034,3353704257.974753
17,17,3353785792.39231,3361428239.3921466,3361400954.3264375,3353736151.907271,3353703375.7128625,3353703509.532011,3356214674.795613,3357818738.682874,3359379703.752025,3355939402.108934,3353711245.084187,3353713955.046131,3361428636.285256,3360698940.6289887,3361405731.488074,3354248553.805087,3353703765.021923,3361428772.1807795,3361400347.5491004,3361593216.0028467,3361407468.088126,3361403000.234416,3356950896.8952436,3360365622.7019806,3357064131.861116,3353704367.762956,3360132360.2461762,3361401552.719486,3353704377.4069257,3353704257.974753
18,18,3353748590.111875,3361413309.995045,3356188251.2130795,3353703788.332238,3353703375.7128625,3353703509.532011,3356214674.795613,3357818738.682874,3356294426.9863734,3353750060.367151,3353711245.084187,3353713955.046131,3361409509.0384145,3354811145.7293267,3361530420.6860375,3357754291.846606,3353703683.407364,3361400831.338387,3361400347.5491004,3361593216.0028467,3361407468.088126,3361416010.4221783,3356950896.8952436,3360365622.7019806,3357064131.861116,3353704367.762956,3354264410.9506984,3361401552.719486,3353704377.4069257,3353704257.974753
19,19,3353748590.111875,3361413309.995045,3356188251.2130795,3353703788.332238,3353703375.7128625,3353703509.532011,3356214674.795613,3357818738.682874,3356294426.9863734,3353750060.367151,3353711245.084187,3353703234.091457,3361400336.1289234,3361403459.9274025,3361424161.0476637,3354424777.86365,3353703683.407364,3357460119.9396725,3361400347.5491004,3361442508.178258,3361407468.088126,3361416010.4221783,3356950896.8952436,3360365622.7019806,3357064131.861116,3353704367.762956,3354264410.9506984,3361401552.719486,3353703406.6445546,3353704257.974753
20,20,3353723649.412765,3360092698.936224,3356188251.2130795,3353703788.332238,3353703107.1054296,3353703509.532011,3356214674.795613,3355494739.4802117,3353950757.70401,3353750060.367151,3353707934.73096,3353703234.091457,3361400336.1289234,3353730436.413444,3361405742.2549615,3354424777.86365,3353703115.102661,3353745815.792576,3361400347.5491004,3361400327.6170025,3361402856.420985,3356294531.119705,3354668962.62143,3356478619.0775805,3357064131.861116,3353704367.762956,3354151862.9471474,3361401552.719486,3353703406.6445546,3353704257.974753
