,gens,fit_run_0,fit_run_1,fit_run_2,fit_run_3,fit_run_4,fit_run_5,fit_run_6,fit_run_7,fit_run_8,fit_run_9,fit_run_10,fit_run_11,fit_run_12,fit_run_13,fit_run_14,fit_run_15,fit_run_16,fit_run_17,fit_run_18,fit_run_19,fit_run_20,fit_run_21,fit_run_22,fit_run_23,fit_run_24,fit_run_25,fit_run_26,fit_run_27,fit_run_28,fit_run_29
0,0,5136030858.168761,5111604836.092933,5074971238.802321,5676818378.90254,5469035788.64599,5554390577.726654,4908428026.087237,5227284706.554683,5612184620.044579,5461905932.131946,5514819203.477238,5423328015.252703,5084584629.919299,5036131378.850539,4832011362.287747,4664402344.0304785,5076955571.673778,4951278337.270517,5403582292.023208,5673221145.072209,5495211213.589063,5038089956.030682,5371834581.938828,5510907602.662534,4957358142.265846,4704699797.734239,5675095066.993309,5383474500.154895,5312552632.038797,4823225885.8867445
1,1,4779144454.317077,4964969437.75005,4765417474.021114,5320329675.493473,4758510515.993601,5258367690.163658,4957292880.473083,4772649241.169088,4827272713.341952,4789488904.762989,4757367841.430947,5128529064.691913,5052931001.135601,4427575013.210656,5193628178.385098,4328869175.95574,5056164564.426173,4920319270.560194,4792171432.827837,4664907938.444134,5246148429.857426,4806857676.210235,4729344260.328263,4811206219.027999,4860419924.283432,4704699797.734239,5168856184.639174,4819217063.971979,5007157580.048533,4866108460.3638
2,2,4510600330.480298,4578391649.259422,4765417474.021114,4923461223.617244,4377635630.238967,4569546917.259274,4545920600.823606,4687002933.252293,4429283989.1836815,4651920796.757344,4716033068.783457,4651804704.451268,4027690925.113343,4236200761.358388,4792110671.290391,4563294449.079194,4256129349.5396223,4500374818.195706,4581047418.688381,4478272688.314091,4653014052.050056,4615070647.054324,4437006426.76396,4226312566.4161777,4609684562.971116,4550298165.457668,4725759867.713608,4529991176.898048,4374407325.697866,4339359637.941913
3,3,4221064021.501677,3993662500.632006,4083934588.958647,4446847978.347991,4364235956.510357,3884811058.999796,4134737990.2360625,4182306749.9152217,4238848382.897672,4157106518.66826,4092674687.1084304,4398993145.049034,3744412992.678404,4126263442.8877106,4490468106.899313,4227002918.872793,4224112195.5836363,4540998327.825308,4111617924.7307158,4408878972.547934,4326203490.106897,3797775610.6490154,4127685427.0454326,4202256110.1630774,3874109768.8829317,3791798943.8002386,4254357207.0278907,4360930864.360756,4266283916.949835,4217237495.1660695
4,4,3941666737.5359883,3974294243.2732887,3724316363.2378387,3940982105.8068037,3907715895.5874367,3884811058.999796,3834867421.1114526,3723988243.9202785,4024974233.5225983,3792509799.851168,3747701373.0703144,4051075896.0494184,3723748330.8630524,3691007643.6539345,4023556488.749073,3912028109.4491134,3838624213.458287,4089022298.6256633,3885320706.9401493,4100962072.644449,4135537128.81861,3787815853.6499677,3678208333.135664,3807578668.575244,3857978658.004455,3791798943.8002386,3959714271.3519006,4023251609.050796,3950273564.1654515,3955388568.9894195
5,5,3647933219.6510406,3651561380.529353,3659306604.007257,3756459704.020704,3754531770.1407275,3482029907.8138866,3644539730.169801,3554175803.8940544,3575973133.750314,3507289615.689752,3440770248.6111326,3683537561.9110966,3497295341.535818,3688911594.4972377,3770615712.8967876,3626146083.980191,3788958425.611675,3737529024.68343,3833986658.855785,3704706364.0533056,3687504462.789351,3557737300.230406,3443080387.295022,3740464919.234203,3656754815.9723535,3582733639.420163,3556527028.2516484,3592276622.130857,3710854686.970727,3822205420.9928
6,6,3494514175.6111507,3440800156.7540197,3536147921.3177233,3670084675.3664513,3589998898.823184,3482029907.8138866,3403172645.401724,3478597841.206685,3463022194.7517304,3479843001.485354,3438729310.257444,3613335458.9530144,3372694882.070307,3384913459.172488,3683204035.287281,3492977946.304232,3550844461.1058445,3468388466.0684514,3532585630.305113,3568552476.1939964,3369603757.7074633,3495116782.3986416,3429679468.674817,3539267453.798943,3620813188.6183333,3479992216.362605,3556527028.2516484,3467133701.487477,3495794406.617401,3594941282.80089
7,7,3376646804.8194942,3380995717.2856355,3407355687.699075,3641053728.9805036,3408600076.660478,3394469965.0290093,3403172645.401724,3478597841.206685,3417634081.1137047,3427089798.684084,3432022637.584062,3552700263.71638,3372694882.070307,3438200676.6799965,3493906695.5526586,3435876755.9428825,3414402039.2035236,3448863687.302193,3388828790.2613983,3422040114.3498383,3369603757.7074633,3377932882.04996,3382787888.357296,3403571432.545979,3540388837.352498,3427506726.2265925,3363496505.2937403,3424360705.0255065,3495794406.617401,3392023483.4025784
8,8,3361405121.4864435,3362930228.2841754,3367483544.1243567,3404774942.2026296,3404697192.4248805,3366750976.805596,3371043547.135097,3387077753.699413,3364757943.542286,3361409360.7685204,3361796819.9394226,3417422585.709181,3382574334.0547028,3361402276.951459,3403089618.6445246,3400155456.490183,3400038413.906668,3361737546.42661,3364571485.6717296,3422040114.3498383,3364732094.2220325,3362613349.5919867,3362846062.619597,3361966861.0886536,3427851121.7450414,3371404078.1758385,3363496505.2937403,3396734909.330759,3447051192.6941357,3389635328.0180225
9,9,3354275602.1133165,3362930228.2841754,3367483544.1243567,3361400763.8177233,3385051124.7532234,3361426619.11744,3361419720.6624975,3373496813.7642627,3362038824.584836,3366460275.1590843,3361636331.234056,3361858620.0114093,3361400553.5136433,3361402276.951459,3370885046.7531195,3361768937.2489758,3361477232.1390424,3361727092.4518046,3361599883.2197075,3373135983.057875,3357388286.5061817,3361400427.4861474,3361425472.1364427,3369895727.036584,3377530153.2588067,3371404078.1758385,3362065329.262735,3368418450.4013906,3370355659.763827,3389635328.0180225
