,gens,fit_run_0,fit_run_1,fit_run_2,fit_run_3,fit_run_4,fit_run_5,fit_run_6,fit_run_7,fit_run_8,fit_run_9,fit_run_10,fit_run_11,fit_run_12,fit_run_13,fit_run_14,fit_run_15,fit_run_16,fit_run_17,fit_run_18,fit_run_19,fit_run_20,fit_run_21,fit_run_22,fit_run_23,fit_run_24,fit_run_25,fit_run_26,fit_run_27,fit_run_28,fit_run_29
0,0,5339991988.629508,5165967764.419956,5117845919.16839,4866649885.857882,5062574885.456896,5354692777.30083,5410966508.592987,5152904702.489571,5537421936.8600025,4776896463.394715,5297411226.323022,5274680304.445063,5067977560.914057,5503519951.168469,5517515816.219465,5199539731.16361,5106019020.68579,5134826842.75777,5513869985.82289,4987673769.923883,4839009444.348684,5016179412.694934,5317167149.4576845,5218035345.6489105,5418418389.779906,5198478520.218084,5529885440.551406,5396544742.913453,5052233014.431375,5553591585.926406
1,1,4538406776.990244,4413765916.048036,4819760131.921595,4684744191.535106,4742414718.634239,4710562025.613351,4697259084.074384,4696744617.411882,4851582422.2477,4781014458.737887,4913837708.283948,4927815155.475818,4944189123.538702,4343030219.7074795,5154838301.494024,5246483191.793094,4708936852.629123,5007314702.227867,4775708577.919495,4648318354.073394,4657047721.57849,4760406154.63689,5122259807.613696,4579107143.9362135,4969399048.85094,4971961864.600036,5291263422.881955,4458538544.106811,4769199658.37973,5197707504.192079
2,2,4538406776.990244,4369122437.478294,4775084885.780596,4648177600.326696,4102228137.4762397,4387907724.581237,4274684757.4576488,4696744617.411882,4605836658.350111,4357786926.961869,4613184841.849578,4391716138.848523,4497791270.107915,4108312882.5218716,4542931597.159884,4755549585.537017,4564229617.199218,4771804018.615319,4353516518.559961,4834439482.025808,4509973568.484602,4724116012.412002,4835568902.240787,4140630736.3412523,4633013469.040697,4715822726.164063,4693793366.160634,4499010891.885834,4417925657.941082,4628457065.052544
3,3,4229131678.1164556,4129071482.838806,4345442124.782108,4317818297.100768,4066257332.583185,3878273485.0752482,4080505185.545441,3955187304.835875,4327544030.014632,4341367043.568887,4231317220.853814,4079623030.620776,4356897548.157914,4162459468.5613084,4532676206.729025,4546041258.59756,4169047583.8771234,4320164672.77187,4346580982.973529,4351761890.019528,4174384682.4995403,4381803085.695737,4445610769.885494,3990389957.84709,4320671252.463195,4112386224.9123125,4379369878.607667,4098480124.964907,4322835826.227048,4159627231.8674955
4,4,3590349569.389614,3772260031.3995233,3950255252.9773912,3927086025.067962,4025612999.3341193,3801288891.2036853,3956722035.2738085,3938449127.756685,4153121011.51365,3870628412.1318607,3888343281.018773,3981264957.3492994,3679424458.2877636,3751459440.2349105,4356560455.703444,4159237633.1288586,4064188161.670835,3818951484.9363146,3771759091.973532,4100858071.4297395,3873311469.7393737,4174807632.057487,3931000004.7304425,3990389957.84709,3904393725.207991,4091787655.469739,4145085269.880116,3945994280.033169,3784127801.262963,3629226930.600226
5,5,3546881424.089961,3509226254.287554,3793147004.7656536,3548762542.4270196,3677857740.574266,3801288891.2036853,3604577546.225667,3670394009.168566,3746590355.087367,3599813237.0066724,3869195438.095238,3736482282.304964,3679424458.2877636,3445997342.1722755,4110610403.7598987,4048256920.829403,3507287805.299257,3819058942.835598,3645531287.6595945,3568031946.141442,3667925839.0921702,3685378734.8564234,4000224754.8193817,3571870166.11008,3692909395.147819,3821440482.113183,3780230965.4320097,3817925897.993608,3784127801.262963,3629226930.600226
6,6,3523773932.892229,3515637981.3187575,3478981899.0076637,3548669537.2765017,3532659605.876618,3474742041.808508,3427595329.419761,3670394009.168566,3746590355.087367,3499059055.4788103,3650253207.849737,3565007318.171511,3679424458.2877636,3450283200.8584228,3733681428.417886,3756228070.1421223,3507287805.299257,3503802960.660939,3639966065.8143163,3568031946.141442,3483507601.4728923,3469692051.4646926,3646150170.761073,3562881935.425398,3721869978.589277,3598020125.930395,3682795843.06065,3651863895.0386696,3393057754.979552,3629226930.600226
7,7,3484119788.4642067,3361426292.9265547,3415926354.4537745,3496642862.7111425,3519977494.546941,3368057123.4911265,3376280813.044653,3475554227.7768583,3503090133.92912,3464532584.822478,3650253207.849737,3565007318.171511,3447575286.539464,3370155283.368662,3584215413.1052566,3381090333.35081,3507287805.299257,3503802960.660939,3472018065.439516,3568031946.141442,3443673325.891408,3469692051.4646926,3601683891.000686,3389825819.888467,3545826104.132399,3431905845.240001,3566080815.2346315,3363147630.0375934,3363193220.736769,3384375685.872632
8,8,3378282050.9169884,3371053926.0212836,3362974497.943983,3399121991.2041674,3392182720.361535,3372202614.494029,3370275709.96133,3522278221.8716774,3380931705.397681,3458667268.3181024,3469344316.4234786,3471462227.606061,3467072783.7320724,3356717111.8657465,3499184728.175236,3381090333.35081,3362563967.555023,3424525603.240638,3469324716.1733065,3410855973.1325035,3362453017.755808,3433668499.3603888,3497192774.8236084,3389825819.888467,3365819855.986319,3374646466.8818116,3530233569.3869777,3369243484.7280536,3362829624.7038136,3384375685.872632
9,9,3369042075.584283,3376916094.015577,3362229788.7276583,3364062645.405953,3378371954.831168,3372202614.494029,3361992312.1839237,3378143937.0530286,3380931705.397681,3372552054.9100456,3459588584.3139625,3421568708.8915753,3363492487.7547655,3356717111.8657465,3457094547.3620977,3381090333.35081,3362738439.2038593,3424525603.240638,3398580954.8163548,3362132057.586787,3362453017.755808,3375188881.4373164,3464008114.0653477,3388174626.60807,3364312122.104015,3374646466.8818116,3469868735.52924,3369243484.7280536,3358590255.2222915,3384375685.872632
10,10,3362195864.0101423,3366736320.8016863,3361886504.318595,3364062645.405953,3362413146.642827,3368586474.2449884,3361992312.1839237,3361425268.9530735,3361437431.9277654,3362361781.070618,3357768861.77505,3353751443.5975776,3363492487.7547655,3354305515.9639177,3403613803.468575,3373657677.423739,3361593865.205676,3377250090.6866784,3372215033.8117943,3362132057.586787,3357538299.2917604,3362010402.8660984,3365351991.7702336,3356009832.813852,3364312122.104015,3374646466.8818116,3411138890.6551847,3369243484.7280536,3353819502.454852,3362018705.861027
11,11,3360814802.7389097,3363716054.0837398,3355995678.509153,3356255666.309921,3361590167.453869,3365108049.3709583,3353741263.2098303,3361425268.9530735,3361437431.9277654,3361456643.114785,3357768861.77505,3353751443.5975776,3362357429.1237926,3358515911.4754505,3368923649.4180117,3362216945.362255,3362094200.2984776,3362748027.208487,3355178957.9128075,3358513451.6510267,3358583060.4981966,3361800151.6791353,3365030117.3195167,3356009832.813852,3361481200.6575356,3362554681.094537,3357255442.0480266,3365188394.1211896,3353819502.454852,3361478491.6103954
12,12,3360814802.7389097,3362033102.366575,3355995678.509153,3356255666.309921,3360611069.2047787,3361404094.2426786,3353741263.2098303,3361425268.9530735,3361437431.9277654,3361400539.3546433,3356860744.37138,3353751443.5975776,3361445276.7693553,3358515911.4754505,3364397419.672765,3362216945.362255,3361703006.3300896,3361404368.392052,3354719432.721967,3358260731.4296675,3356586566.539877,3356732909.9563165,3365030117.3195167,3353925568.341089,3361481200.6575356,3361606087.0626135,3361464486.6664424,3361460128.212598,3353819502.454852,3361464153.4128795
13,13,3358000920.373868,3361402691.4003825,3355995678.509153,3353727342.54306,3361400730.5628495,3353933417.3755064,3353741263.2098303,3361425268.9530735,3361762404.4889126,3361400539.3546433,3356258522.5034885,3353717222.602201,3357847041.350931,3357684379.182387,3362015180.082356,3362107393.928766,3355756053.7967086,3361404368.392052,3354429406.8319316,3356515495.613635,3356586566.539877,3356732909.9563165,3361420816.012621,3353703193.781401,3354106155.784782,3353719767.116118,3365126564.220283,3361460128.212598,3353727114.2142034,3361402115.216695
14,14,3355220999.64745,3361756753.676059,3354946627.7055244,3353713734.331026,3353704435.4939466,3353933417.3755064,3353741263.2098303,3361425268.9530735,3361413162.1430383,3361400539.3546433,3354624468.107821,3353703483.9862213,3355411298.399042,3353703185.194898,3353935038.735783,3361420331.6747813,3355756053.7967086,3361402768.8817964,3354429406.8319316,3354124207.930041,3354122091.021188,3356732909.9563165,3361420816.012621,3353736428.889819,3354106155.784782,3353719767.116118,3361645342.215199,3355552963.3634853,3353819502.454852,3359619210.7739563
15,15,3355220999.64745,3361417603.7925606,3354095200.230451,3353703983.1605525,3353704435.4939466,3353933417.3755064,3353711786.0900426,3361401151.28957,3353889840.559028,3361400539.3546433,3354412461.5203285,3353703483.9862213,3354128713.8908706,3354516547.91927,3353935038.735783,3361420331.6747813,3354018268.1727867,3361401913.321515,3353954628.6496077,3353758882.2940135,3353734264.10572,3353779325.033028,3361403115.191541,3353721149.9683666,3353731084.645569,3353921293.074494,3361534357.306939,3355552963.3634853,3353774019.970055,3354712906.879405
16,16,3353737378.0697045,3357831479.576483,3353934680.5292983,3353703983.1605525,3353704435.4939466,3353715895.3231635,3353711786.0900426,3360905582.7665477,3353889840.559028,3358203911.4707856,3354412461.5203285,3353703483.9862213,3353842949.6205583,3353703171.188523,3353718920.0947666,3361412928.859449,3353705413.813527,3361401913.321515,3353926651.515094,3353736903.81248,3353724640.1889033,3353779325.033028,3356359700.5377965,3353703400.9032717,3353707179.6746035,3353921293.074494,3361400337.2566247,3354162765.1185126,3353703165.3824544,3354712906.879405
17,17,3353737378.0697045,3357831479.576483,3353707000.5922065,3353703983.1605525,3353704435.4939466,3353715895.3231635,3353708191.751408,3354586157.6325,3353710421.120887,3358203911.4707856,3353703267.34321,3353703483.9862213,3353706871.40649,3353703171.188523,3353718920.0947666,3361401281.2626553,3354007898.450507,3361400354.635056,3353742377.0771055,3353736903.81248,3353707473.560004,3353779325.033028,3356359700.5377965,3353703400.9032717,3353707179.6746035,3353921293.074494,3361400337.2566247,3355552963.3634853,3353703165.3824544,3354712906.879405
