,gens,fit_run_0,fit_run_1,fit_run_2,fit_run_3,fit_run_4,fit_run_5,fit_run_6,fit_run_7,fit_run_8,fit_run_9,fit_run_10,fit_run_11,fit_run_12,fit_run_13,fit_run_14,fit_run_15,fit_run_16,fit_run_17,fit_run_18,fit_run_19,fit_run_20,fit_run_21,fit_run_22,fit_run_23,fit_run_24,fit_run_25,fit_run_26,fit_run_27,fit_run_28,fit_run_29
0,0,5115099132.90198,5201639431.750452,5311266757.452849,4960171546.276868,5422265737.984297,5069116567.977665,5395210930.228601,4889513403.105412,5260723992.108698,5235668970.91272,5513778555.008375,4784080633.0968485,4660755658.546879,5244671178.344158,5148444757.127749,5448471010.418353,5062329994.685269,5381726323.094183,4958262894.008858,4825496648.189911,5471027197.892984,5209098503.189729,5478234731.68169,5422330570.68236,4784331748.149821,5405464940.562278,5064761506.354946,4821535661.348586,4878394835.336466,5619554070.295786
1,1,4931973184.020584,4866774767.731222,4643197220.727918,4549663337.799544,5055229525.470541,4464087026.639824,4816077185.420109,4895070130.371528,4659943109.131643,4544017889.691773,5190412794.189008,4892886815.846258,4660755658.546879,4700035131.1784525,4954587962.835076,4706966447.699516,5062329994.685269,4312102724.529516,4846204438.216233,4739937686.63507,4819990493.407218,4846611837.0428,4438528265.539404,4857249377.461736,4743844792.206286,4759020786.820646,4791733897.851438,4630184709.44886,4794958369.25037,5022732781.957686
2,2,4743592485.579409,4705194631.545978,4434438442.330759,4549663337.799544,4525169121.232584,4342114493.577893,4246107485.6346145,4567399022.093256,4261215810.409221,4555781831.457854,4557076672.00365,4610554634.742261,4144968310.6776137,4342642900.737301,4646242619.759038,4781239880.191439,4588205375.857136,4117000886.812109,4409515035.922251,4573384140.924512,4485745321.173173,4729753766.258141,4411788399.590347,4637783416.022556,4263779139.0927663,4589598651.770263,4166235349.286592,4499728055.75066,4172145320.480631,4129702363.582278
3,3,4300029714.157075,4233708352.4256544,4187793846.4204364,4154991871.834166,4251758377.283497,3916385660.4901695,4246107485.6346145,4169738949.9811,3968536734.038256,4077127018.356496,4648195301.609727,4301379781.1985,3955298718.0527534,4140567511.6968513,4103035925.8597507,4074133968.555415,4251933744.556215,4151498170.7851562,4330348228.728133,4208162904.6493034,4553643263.347561,4298172170.917114,4178975616.647431,4087622176.189976,4245331281.43798,4140199340.3735137,3812423883.145826,4113323353.706671,3890539205.84853,3933268544.8004255
4,4,3988863133.4444966,3913650402.294608,3908287330.7932496,3971922994.6748567,4036394877.007553,3635773303.4163857,4009486411.526381,3960218397.9109764,3686337691.5071325,4077127018.356496,4110674128.6128273,3555035387.592372,3955298718.0527534,3774867830.2853265,4139658403.704531,4013215514.419914,4009720943.9061503,3734991794.41697,3914534127.943213,3758107260.9818597,4226755221.087594,3958184250.5592027,3941381888.798939,3747277253.6645436,3926196719.861977,4116238746.8819313,3627489860.1208973,3970864991.0369377,3567494986.6643925,3862638334.6631455
5,5,3648708252.8675666,3631949327.073981,3681853983.700033,3819454773.867109,3804884852.034249,3583230972.6201935,3811603380.95986,3616244645.552467,3639926241.7397237,3717547267.4924517,3918853580.897386,3507763733.14779,3640723869.7483034,3562950642.2948256,3789845129.9540143,3733949760.425368,3748383476.485009,3695100705.608486,3870172769.3104224,3672467571.506145,3809393663.9226594,3788670701.6551747,3677364766.003915,3461752425.5435967,3677131751.9210167,3526599434.579002,3525080614.565592,3604969941.387651,3559092464.498677,3567512580.419173
6,6,3504777980.549081,3415292748.138164,3681853983.700033,3734054598.591448,3616440323.3282604,3378683083.8686366,3690280737.085259,3379925047.218269,3396932209.0612507,3710159942.404064,3529585910.6374426,3511107853.1096272,3544779451.1134586,3562950642.2948256,3559525454.7587585,3649713043.7836514,3512277108.2647038,3464941262.3400598,3625882423.4951305,3479933085.5656366,3766697550.6210313,3493220002.58805,3569748998.2425814,3484955422.4930205,3647467022.059571,3479686028.41171,3375827068.358228,3590217005.503315,3559092464.498677,3472535974.882017
7,7,3504777980.549081,3384520399.7952976,3421152856.975656,3427985002.079077,3455406863.412937,3362859901.3004155,3590825811.8678455,3379925047.218269,3368860773.772779,3567781967.1721478,3529585910.6374426,3430594686.856982,3415415143.8180494,3529706861.1691146,3431502332.7530446,3451906840.4077897,3430783772.8906126,3367662256.5974336,3516464537.6229296,3362387588.6916394,3627469311.20006,3490451274.9169407,3387202780.05413,3413955927.9397144,3421002861.169229,3438318693.64617,3375827068.358228,3475675070.6731563,3409703262.328158,3381304775.523315
8,8,3416309630.786916,3394683291.694051,3421152856.975656,3427985002.079077,3376413138.2544556,3361404122.889038,3440381214.4622216,3371401450.6180067,3368860773.772779,3416134684.3141456,3405108648.469282,3364165942.294133,3394495139.8854713,3367175733.700262,3425231948.569421,3363819225.4236555,3464315914.0250273,3367662256.5974336,3396219683.695139,3362309495.2778077,3454440712.0399184,3389758217.875286,3362352294.948595,3375706389.626397,3407316974.156692,3374741230.37497,3367372513.753314,3407652992.198052,3388965508.598066,3364835788.591586
9,9,3396371815.6686916,3361551017.2396455,3362457285.540968,3363040323.4102716,3376413138.2544556,3355379458.523677,3368271888.7527943,3363900748.720528,3361940845.2641006,3383963987.8594737,3376530901.378206,3364165942.294133,3381505500.0515804,3358241014.644235,3374794767.220291,3363819225.4236555,3371271300.670575,3353794134.852208,3365987170.798798,3361640758.692736,3398615853.8731585,3400629717.796043,3361402967.0805364,3362014717.1256466,3366746640.559574,3365527608.8717303,3367372513.753314,3407652992.198052,3361811908.1081448,3361407527.2477083
