,gens,fit_run_0,fit_run_1,fit_run_2,fit_run_3,fit_run_4,fit_run_5,fit_run_6,fit_run_7,fit_run_8,fit_run_9,fit_run_10,fit_run_11,fit_run_12,fit_run_13,fit_run_14,fit_run_15,fit_run_16,fit_run_17,fit_run_18,fit_run_19,fit_run_20,fit_run_21,fit_run_22,fit_run_23,fit_run_24,fit_run_25,fit_run_26,fit_run_27,fit_run_28,fit_run_29
0,0,964543362.2444446,3489601534.907693,2777850115.1459064,559255145.8287597,3483732180.402534,2708470847.1648955,996219895.339206,3331326884.863903,177022714.1404746,995587122.8666615,3473286989.45571,2595856197.824553,1826429337.5162487,553272671.5109464,951186611.154115,609893996.6737528,3473286989.45571,563274034.1244245,1476896272.014027,2610107921.436927,2046616413.8938718,763026499.733976,1946166537.5510528,2896644562.0084777,3489601534.907693,563274034.1244245,842327761.8303944,3505957255.1294527,1543484152.7179642,2727009807.946534
1,1,2366312190.9588933,2880975069.5418525,2777850115.1459064,559255145.8287597,3299977773.5001764,2708470847.1648955,2211948068.949973,763120575.1896493,684265441.5092646,563274034.1244245,996219895.339206,2595856197.824553,1826429337.5162487,2535278959.7984877,1305299900.8206103,807807821.8797526,996219895.339206,996219895.339206,1476896272.014027,3352435787.3262153,728889919.0874764,1581239274.3343265,3251411938.7492647,996219895.339206,2370232005.405978,563274034.1244245,527767490.02261484,996219895.339206,996219895.339206,2821568275.215757
2,2,2366312190.9588933,2775464412.528277,2750924386.4303083,559255145.8287597,996219895.339206,2384007346.419809,996219895.339206,763120575.1896493,397653276.15853155,563274034.1244245,565151557.2119161,2595856197.824553,2882367983.970727,3489601534.907693,1305299900.8206103,536667822.8402394,996219895.339206,542555761.9663674,1132564449.6516442,996219895.339206,728889919.0874764,1581239274.3343265,2768177062.166837,996219895.339206,548010271.1601968,3489601534.907693,454466623.5003118,996219895.339206,996219895.339206,1502164335.7745037
3,3,996219895.339206,576404800.8229274,996219895.339206,559255145.8287597,643197283.8143557,906276702.7103767,996219895.339206,595041858.8582546,397653276.15853155,563274034.1244245,565151557.2119161,2447733090.669313,824603444.4103333,2469765425.6863112,1305299900.8206103,536568684.81471467,15325488.337529957,542555761.9663674,996219895.339206,996219895.339206,2711236969.672969,1581239274.3343265,2741204187.5236173,996219895.339206,548010271.1601968,2080884359.5946932,454818793.2578848,996219895.339206,996219895.339206,32648909.845672116
4,4,996219895.339206,576404800.8229274,996219895.339206,543872364.5680672,643197283.8143557,701322703.5208571,750650632.889284,595041858.8582546,452922894.6163373,563274034.1244245,565151557.2119161,996219895.339206,824603444.4103333,996219895.339206,996219895.339206,536568684.81471467,15325488.337529957,542555761.9663674,996219895.339206,687059433.5783702,282479464.50086576,844235711.3196965,2741204187.5236173,698604614.9307165,548010271.1601968,996219895.339206,454818793.2578848,996219895.339206,786200117.6752124,2739809046.9331875
5,5,676898092.9760693,576404800.8229274,936626771.3042723,543872364.5680672,643197283.8143557,595871929.2074744,15325488.337529963,595013132.0260408,452922894.6163373,14263346.546007648,565151557.2119161,749772816.6201668,824603444.4103333,996219895.339206,783996996.6082932,536568684.81471467,15325488.337529957,15325488.337529957,323350018.87387127,687059433.5783702,282479464.50086576,844235711.3196965,625072500.3252118,698604614.9307165,515831962.70933867,996219895.339206,383941084.4603681,996219895.339206,15325488.337529963,996219895.339206
6,6,139864675.00895518,576209326.7403326,264879121.57547465,469344872.7112204,15325488.337529957,15325488.337529963,15325488.337529957,595041575.3550146,353819622.9147778,14263346.546007648,15325488.337529957,741720444.5803027,824603444.4103333,996219895.339206,278505723.5337424,15325488.337529957,15325488.337529957,15325488.337529957,323350018.87387127,987510964.3325652,282479464.50086576,844235711.3196965,996219895.339206,15325488.337529957,33141998.82682254,642171332.8069099,383941084.4603681,987510964.3325652,15325488.337529963,15325488.337529957
7,7,535694748.3267512,574612474.5270292,264879121.57547465,469344872.7112204,15325488.337529957,15325488.337529963,14263346.546007648,591731129.0785372,15325488.337529963,14263346.546007648,15325488.337529957,671807292.5321085,317034740.0888761,609027759.0827259,278505723.5337424,15325488.337529957,15325488.337529957,15325488.337529957,15325488.337529963,15325488.337529963,282479464.50086576,844235711.3196965,15325488.337529963,15325488.337529957,513446258.5621536,987510964.3325652,15325488.337529963,811097817.2695237,15325488.337529957,15325488.337529957
8,8,15325488.337529957,471515094.3604553,14263346.546007648,469344872.7112204,14940485.578189218,15325488.337529963,14263346.546007648,575494873.6148485,15325488.337529963,14263346.546007648,15325488.337529957,15325488.337529963,317034740.0888761,549360135.778131,15325488.337529957,15325488.337529957,15325488.337529957,15325488.337529957,15325488.337529963,15325488.337529963,282479464.50086576,844235711.3196965,15325488.337529963,15325488.337529957,513363385.73781586,987510964.3325652,15325488.337529963,642711921.5501276,15325488.337529957,15325488.337529957
9,9,15325488.337529957,471515094.3604553,14263346.546007648,380353369.9726617,14940485.578189218,15325488.337529963,14263346.546007648,435085236.8678719,14263346.546007648,14263346.546007648,15325488.337529957,15325488.337529963,264064431.4315552,15325488.337529957,15325488.337529957,15325488.337529957,15325488.337529957,15325488.337529957,10972840.437362716,15325488.337529963,38961578.645073794,844235711.3196965,15325488.337529963,15325488.337529957,514440891.3822,956656122.6214507,15325488.337529963,15325488.337529963,15325488.337529957,15325488.337529957
10,10,15325488.337529957,471515094.3604553,14263346.546007648,15325488.337529963,14940485.578189218,14263346.546007648,14263346.546007648,435085236.8678719,15325488.337529963,14263346.546007648,15325488.337529957,15325488.337529963,264064431.4315552,15325488.337529957,15325488.337529957,15325488.337529957,15325488.337529957,15325488.337529957,15325488.337529963,15325488.337529963,15325488.337529957,249427203.56249657,555212341.448947,15325488.337529957,514440891.3822,15325488.337529957,15325488.337529963,15325488.337529963,15325488.337529957,15325488.337529957
11,11,15325488.337529957,471515094.3604553,14263346.546007648,42106461.69437564,14263346.546007648,14263346.546007648,14263346.546007648,390944954.9229898,11268474.457060438,12153746.664676616,15325488.337529957,15325488.337529963,15325488.337529963,15325488.337529957,15325488.337529957,15325488.337529957,15325488.337529957,15325488.337529957,15325488.337529963,15325488.337529963,15325488.337529957,249427203.56249657,15325488.337529963,15325488.337529957,514440891.3822,15325488.337529957,15325488.337529963,15325488.337529963,10282936.474288166,15325488.337529957
12,12,15325488.337529957,208679529.62769717,14263346.546007648,42106461.69437564,14940485.578189218,14263346.546007648,13242379.524261603,15325488.337529963,11268474.457060438,12153746.664676616,15325488.337529957,12410204.61859398,264064431.4315552,15325488.337529957,15325488.337529957,15325488.337529957,15325488.337529957,15325488.337529957,10900369.817326963,15325488.337529963,15325488.337529957,249427203.56249657,15325488.337529963,15325488.337529957,514410672.2317083,14263346.546007648,15325488.337529963,13242379.524261603,10282936.474288166,15325488.337529957
