,gens,fit_run_0,fit_run_1,fit_run_2,fit_run_3,fit_run_4,fit_run_5,fit_run_6,fit_run_7,fit_run_8,fit_run_9,fit_run_10,fit_run_11,fit_run_12,fit_run_13,fit_run_14,fit_run_15,fit_run_16,fit_run_17,fit_run_18,fit_run_19,fit_run_20,fit_run_21,fit_run_22,fit_run_23,fit_run_24,fit_run_25,fit_run_26,fit_run_27,fit_run_28,fit_run_29
0,0,6385614527.261824,7328877758.285922,6550745686.379198,6516315188.454756,6374555324.846638,6186513360.715394,6485239301.652718,5380488012.903011,6478572619.827422,5955058889.818228,5008356540.728083,7229596262.391809,7475079653.776306,6032875207.53725,6793934441.795874,6723449222.433359,6704560891.040567,3966294838.914026,6366381116.868683,6544618413.796945,6435575193.121609,6385940571.069189,6570242864.230483,6560345351.846094,6464796627.283396,5720361368.778804,5994828016.928771,6650245182.471127,7411303715.697391,6697645159.693362
1,1,1490794802.6622858,3505957255.1294527,4839735197.146693,3379231137.63302,6358930813.414054,2543478568.634811,6468370246.884862,5380488012.903011,3441372994.781088,5584580052.195654,3492429610.1040516,2993809292.7103357,6120866809.857153,6123124482.231479,5416701519.270167,6435483672.618457,3615336595.083391,3917893163.3757033,753623057.4100473,5416204892.275185,3534610218.2761426,5213285409.859925,6388777808.231799,6451293049.138287,4856365675.341881,4442602478.474784,3711889025.9262056,3463264044.847373,3764785412.8300457,6355019152.769971
2,2,3612592439.5901833,3505957255.1294527,6409337919.195059,3379231137.63302,4644111753.8720875,2543478568.634811,4996503948.734823,5148161432.079718,3441372994.781088,5584580052.195654,593842287.0460604,2993809292.7103357,3915444376.497727,6380786276.486602,4499698572.218948,6198799497.29113,3505957255.1294527,4183830448.6418023,753623057.4100473,1557823407.4413342,3534610218.2761426,3457458652.8497295,6795815.469748977,237017110.57018912,3901894482.198403,16927874.530913845,2537838068.2759395,3765441000.803798,3805039255.2783227,596016580.5736282
3,3,603893950.2628711,29804086.49205032,6409337919.195059,3379231137.63302,517816835.9859276,80294277.56476928,1828594591.9660578,1940361604.1237106,3009691056.5670943,5167131330.943615,756595.8422255273,2569573292.058068,3505957255.1294527,505437505.7297939,2077772117.47527,2987546182.9165874,1054046405.6053032,4183830448.6418023,753623057.4100473,563222141.0071831,67713468.7036029,1523676627.2232664,6795815.469748977,237017110.57018912,3073574309.342266,16927874.530913845,2537838068.2759395,3505957255.1294527,2285043804.7388554,596016580.5736282
4,4,3612592439.5901833,29804086.49205032,3505957255.1294527,3379231137.63302,618489737.0975184,80294277.56476928,1828594591.9660578,1940361604.1237106,3009691056.5670943,4181448417.8948383,756595.8422255273,2569573292.058068,2103416804.2272534,161865045.6429149,2077772117.47527,550297085.3043809,1054046405.6053032,4183830448.6418023,753623057.4100473,563222141.0071831,497639244.5812076,1523676627.2232664,6795815.469748977,237017110.57018912,29288419.081895526,16927874.530913845,2537838068.2759395,3505957255.1294527,2285043804.7388554,596016580.5736282
5,5,3107993052.0670233,29804086.49205032,970177350.8883829,3379231137.63302,3075583842.486974,80294277.56476928,964131477.5538119,1940361604.1237106,249088841.05433533,1367463300.8688052,756595.8422255273,1080743414.3035698,1839904258.1439838,505437505.7297939,770096494.7200441,69773870.6843704,1054046405.6053032,129649853.90369143,753623057.4100473,563222141.0071831,10849663.536730394,1523676627.2232664,3181954393.502466,237017110.57018912,29288419.081895526,16927874.530913845,1399454218.3812416,597308833.4852841,2285043804.7388554,596016580.5736282
6,6,263772551.61568004,29804086.49205032,970177350.8883829,543772121.0857952,3075583842.486974,80294277.56476928,1324529084.3128972,1940361604.1237106,249088841.05433533,685733408.2226502,756595.8422255273,874991807.3451673,1839904258.1439838,505437505.7297939,770096494.7200441,69773870.6843704,580504166.5774543,129649853.90369143,753623057.4100473,563222141.0071831,10849663.536730394,2949862748.217468,1887255393.1704667,237017110.57018912,29288419.081895526,16927874.530913845,368985984.2019056,597308833.4852841,2285043804.7388554,596016580.5736282
7,7,263772551.61568004,29804086.49205032,419725174.2770791,543772121.0857952,1924080028.5468981,80294277.56476928,612067411.8603116,1940361604.1237106,249088841.05433533,685733408.2226502,756595.8422255273,874991807.3451673,1839904258.1439838,505437505.7297939,770096494.7200441,69773870.6843704,580504166.5774543,19015759.683031045,753623057.4100473,650577346.3877666,10849663.536730394,2878635.5197849087,1887255393.1704667,237017110.57018912,29288419.081895526,16927874.530913845,3444495.393218189,597308833.4852841,2285043804.7388554,596016580.5736282
8,8,101017960.59314899,29804086.49205032,419725174.2770791,68244204.1766241,1924080028.5468981,80294277.56476928,612067411.8603116,251717799.69593847,10699618.86370588,685733408.2226502,756595.8422255273,678573064.8346885,1839904258.1439838,505437505.7297939,543541551.6851945,69773870.6843704,580504166.5774543,19015759.683031045,540104536.465948,302368060.10501987,10849663.536730394,1049074594.6886873,1887255393.1704667,237017110.57018912,29288419.081895526,16927874.530913845,3444495.393218189,649376608.9789574,2285043804.7388554,596016580.5736282
9,9,263772551.61568004,29804086.49205032,419725174.2770791,68244204.1766241,954068472.4815506,80294277.56476928,612067411.8603116,251717799.69593847,10699618.86370588,685733408.2226502,756595.8422255273,200208870.79551193,1839904258.1439838,505437505.7297939,770096494.7200441,7751013.393049784,580504166.5774543,19015759.683031045,540104536.465948,302368060.10501987,10849663.536730394,1049074594.6886873,1437859005.1264307,30359040.187649928,29288419.081895526,16927874.530913845,3444495.393218189,649376608.9789574,1962657393.5643225,596016580.5736282
