,gens,fit_run_0,fit_run_1,fit_run_2,fit_run_3,fit_run_4,fit_run_5,fit_run_6,fit_run_7,fit_run_8,fit_run_9,fit_run_10,fit_run_11,fit_run_12,fit_run_13,fit_run_14,fit_run_15,fit_run_16,fit_run_17,fit_run_18,fit_run_19,fit_run_20,fit_run_21,fit_run_22,fit_run_23,fit_run_24,fit_run_25,fit_run_26,fit_run_27,fit_run_28,fit_run_29
0,0,542840202.3351786,976707462.2631924,3235211491.836397,135632711.8973855,614924789.1583769,759140917.7939807,741734586.0387939,966732114.3693688,1731769096.559267,1197046432.4996579,542432539.3168908,1677011135.4418085,844521002.183653,1653704401.566286,690824514.8870363,719480262.605053,541072230.4423001,859221817.4422293,536933578.7386724,713713261.8195003,586905244.4620483,849046391.64707,554327975.088923,560841859.7741796,914327729.7202305,556098128.840597,819071411.6715645,555230754.2346452,540214812.7086734,538666639.4432411
1,1,542840202.3351786,683271036.1160719,619833057.5919678,135632711.8973855,548627998.7784435,680098752.9764743,700613154.684009,966732114.3693688,1372546398.4732862,3449972090.5815773,542432539.3168908,572500921.7633369,844521002.183653,1653704401.566286,655584232.1842715,719480262.605053,536518729.74529,859221817.4422293,536933578.7386724,713713261.8195003,586905244.4620483,557169450.1468045,554327975.088923,727059588.5649405,914327729.7202305,556098128.840597,819071411.6715645,555230754.2346452,592801339.6605357,536509606.04252535
2,2,542840202.3351786,683271036.1160719,619833057.5919678,135632711.8973855,545442792.2987531,633925736.0322595,700613154.684009,966732114.3693688,995374367.9463985,3449972090.5815773,542432539.3168908,572500921.7633369,844521002.183653,1653704401.566286,655584232.1842715,719480262.605053,536518729.74529,659506787.2108802,536933578.7386724,713713261.8195003,586905244.4620483,557169450.1468045,554327975.088923,641602085.1563267,914327729.7202305,556098128.840597,819071411.6715645,555230754.2346452,592801339.6605357,536509606.04252535
3,3,542840202.3351786,546001458.0836136,619833057.5919678,135632711.8973855,545442792.2987531,633925736.0322595,741734586.0387939,543100504.5884457,995374367.9463985,3449972090.5815773,537112106.0541606,572500921.7633369,844521002.183653,1653704401.566286,655584232.1842715,719480262.605053,536518729.74529,659506787.2108802,536933578.7386724,713713261.8195003,586905244.4620483,557169450.1468045,554327975.088923,641602085.1563267,914327729.7202305,538119750.9569436,819071411.6715645,555230754.2346452,592801339.6605357,536509606.04252535
4,4,538225953.6408147,539996879.0133162,619833057.5919678,135632711.8973855,545442792.2987531,633925736.0322595,741734586.0387939,543100504.5884457,995374367.9463985,536650921.9083287,537112106.0541606,572500921.7633369,844521002.183653,1653704401.566286,655584232.1842715,719480262.605053,536518729.74529,659506787.2108802,536933578.7386724,713713261.8195003,586905244.4620483,557169450.1468045,554327975.088923,641602085.1563267,914327729.7202305,556098128.840597,819071411.6715645,555230754.2346452,592801339.6605357,536509606.04252535
5,5,542840202.3351786,539996879.0133162,619833057.5919678,135632711.8973855,545442792.2987531,633925736.0322595,741734586.0387939,543100504.5884457,995374367.9463985,536650921.9083287,537112106.0541606,572500921.7633369,844521002.183653,565264963.4431622,655584232.1842715,719480262.605053,536518729.74529,659506787.2108802,536933578.7386724,713713261.8195003,586905244.4620483,557169450.1468045,554327975.088923,641602085.1563267,914327729.7202305,556098128.840597,819071411.6715645,555230754.2346452,592801339.6605357,536509606.04252535
6,6,542840202.3351786,539996879.0133162,619833057.5919678,135632711.8973855,545442792.2987531,633925736.0322595,741734586.0387939,543100504.5884457,995374367.9463985,536650921.9083287,537112106.0541606,572500921.7633369,844521002.183653,565264963.4431622,655584232.1842715,569323047.4558548,536518729.74529,659506787.2108802,536933578.7386724,713713261.8195003,586905244.4620483,557169450.1468045,549014151.6466055,641602085.1563267,914327729.7202305,556098128.840597,819071411.6715645,555230754.2346452,592801339.6605357,536509606.04252535
7,7,542840202.3351786,539996879.0133162,619833057.5919678,135632711.8973855,545442792.2987531,633925736.0322595,741734586.0387939,543100504.5884457,995374367.9463985,536650921.9083287,537112106.0541606,572500921.7633369,844521002.183653,541371255.6961316,655584232.1842715,569323047.4558548,536518729.74529,659506787.2108802,536933578.7386724,713713261.8195003,586905244.4620483,557169450.1468045,549014151.6466055,641602085.1563267,567367077.0719244,546992836.5307622,819071411.6715645,555230754.2346452,592801339.6605357,536509606.04252535
8,8,542840202.3351786,539996879.0133162,619833057.5919678,135632711.8973855,545442792.2987531,633925736.0322595,741734586.0387939,543100504.5884457,995374367.9463985,536650921.9083287,537112106.0541606,536582746.49248666,552311338.731285,541371255.6961316,655584232.1842715,569323047.4558548,536518729.74529,659506787.2108802,536933578.7386724,713713261.8195003,586905244.4620483,557169450.1468045,549014151.6466055,641602085.1563267,914327729.7202305,546992836.5307622,819071411.6715645,555230754.2346452,592801339.6605357,536509606.04252535
9,9,539176751.5987315,539996879.0133162,619833057.5919678,135632711.8973855,545442792.2987531,633925736.0322595,741734586.0387939,543100504.5884457,995374367.9463985,536650921.9083287,537112106.0541606,536582746.49248666,552311338.731285,541371255.6961316,655584232.1842715,569323047.4558548,536518729.74529,659506787.2108802,536933578.7386724,713713261.8195003,586905244.4620483,557169450.1468045,549014151.6466055,641602085.1563267,914327729.7202305,546992836.5307622,819071411.6715645,555230754.2346452,592801339.6605357,536509606.04252535
