,gens,fit_run_0,fit_run_1,fit_run_2,fit_run_3,fit_run_4,fit_run_5,fit_run_6,fit_run_7,fit_run_8,fit_run_9,fit_run_10,fit_run_11,fit_run_12,fit_run_13,fit_run_14,fit_run_15,fit_run_16,fit_run_17,fit_run_18,fit_run_19,fit_run_20,fit_run_21,fit_run_22,fit_run_23,fit_run_24,fit_run_25,fit_run_26,fit_run_27,fit_run_28,fit_run_29
0,0,5298493432.869361,5508991362.974201,4814004776.956852,4940164903.869291,4883486505.717894,5215720746.1725445,5335539454.059471,5056486198.554172,4802319428.393077,5466670318.457278,5415429440.015457,5116012177.018078,5540926681.945583,4892452308.481126,5014587867.277319,5427879616.148739,5591199715.62976,5050138227.504405,5519799728.67412,5490092379.026074,5030922677.506401,5543784254.759308,5249492964.442478,5375106143.459085,5407054870.958716,5100324252.549609,5321638775.015211,5394936740.020908,5308017665.931588,5523575789.642466
1,1,5171471677.30997,4890175839.753044,4813391548.525913,4520681028.68672,4770456929.444431,5198334016.563445,4901116622.734431,5056486198.554172,4972323191.077435,5185525800.225524,5396435010.752033,4764378292.420691,5362139033.207956,4482000647.4277525,5014587867.277319,4458134116.404135,4659263361.826233,4850299893.450117,4999197509.915491,5118854498.818511,5093523456.303537,4331913575.692853,5045013225.228861,5415484509.779452,4827946504.700535,4897246836.132779,5211227701.036729,5030842570.746797,4836410625.021725,4720248716.065162
2,2,4784909220.574319,4867820665.942477,4313770460.679743,4687582984.360324,4770456929.444431,4642308455.562721,4848234609.481887,4201233463.4241414,4333449285.911239,4464700748.824693,4528370961.0368595,4729085132.558915,4568927095.814964,4376453053.862552,4700422245.89508,4458134116.404135,3857328972.208791,4314741682.688775,4618837881.41488,5057089217.941232,4747139084.845219,4331913575.692853,4571570605.164063,4857183128.437857,4624030246.40267,4856960872.885285,4396472302.594045,4567541770.395362,4648459372.401466,4240840543.1716614
3,3,4181040162.7522893,4351296969.975903,4231023264.850422,4138735568.587987,4216157130.355197,4642308455.562721,4182156087.839172,4160209217.721887,4333449285.911239,4187268781.229083,4101755584.838789,4212600741.9417834,4351806465.170551,4223974745.8967724,4284286649.6460934,3961484651.415204,3812074441.3868957,4130290569.460425,4178708649.735969,4461174514.140668,3970012874.782715,4213318122.7503223,4229368573.6036763,4564128643.56995,4171732596.159964,4214804689.5138745,4315870512.69962,4500464596.03097,3972316360.5717883,4082986168.3115296
4,4,3768153855.0580297,3884250063.960879,3865151103.266364,3845262299.7704444,4036799393.4939117,4176908293.607642,4114408437.285835,3497448547.239903,4200164175.9406166,4175441891.944975,4116471798.810945,3758747804.1816974,4079789424.4550023,3987427682.910631,3791717696.5048356,3961484651.415204,3802051762.8765645,3823908025.096721,3820113025.5192637,3862653833.5963373,3956106109.777346,3808912837.2831078,4048211462.6136274,3969556084.959834,3916730490.8746014,3913432037.127539,4200373690.2874207,4205155247.709919,3674181390.5514174,3568592166.214417
5,5,3760618734.236888,3663623916.344494,3533096005.719801,3585115972.0537395,3765579093.137334,3737136765.71737,3722571670.3444457,3497448547.239903,3698570390.234057,4004496921.7294674,3827097726.9320374,3648752733.4594035,3728793810.0383205,3580186474.791288,3570391261.1535935,3730730747.292434,3455501690.2118015,3676071848.407802,3529888514.0156975,3777504802.6967287,3751527661.1845765,3524766912.4291162,3898112603.964468,3935571221.5724735,3652979824.9737873,3577521716.431251,3854118661.987688,3834264094.36916,3674181390.5514174,3465541496.9970417
6,6,3365598300.4692426,3587332667.0144787,3472310094.038857,3517967800.514882,3532909265.0326633,3455340654.9650025,3524344250.238225,3382102359.636154,3479236374.675936,3566476494.4778056,3564797959.0051923,3448484018.5781817,3756144453.4470367,3501880392.8038764,3489521491.395447,3589892792.014614,3455501690.2118015,3553439097.7811666,3399872377.0804267,3647537258.916279,3623148114.1814175,3502172041.319234,3583546949.236821,3727305375.488997,3449123770.5676494,3553019944.388536,3672464614.3372774,3750199775.017912,3517060759.5397778,3458246669.7506757
7,7,3363678552.7936683,3522521266.773305,3475232605.6666737,3472177722.5398097,3518846295.663384,3437015764.3238997,3455966348.599758,3375949494.9234724,3367083725.3460236,3444883775.215823,3439532612.121089,3447481433.0480037,3568838852.1985235,3443004264.2099433,3365353382.6720667,3499581451.455303,3366231139.817405,3386115148.006149,3379466038.466577,3500595123.4111714,3494384273.1945105,3458576522.0785875,3427131526.8023133,3392921298.2366753,3449123770.5676494,3431920695.790114,3417755715.2223244,3367528177.2141747,3425144095.359566,3397787248.5339046
8,8,3363678552.7936683,3394922280.8471007,3365306159.5055933,3374338934.469718,3376272489.637237,3437015764.3238997,3441446830.8141384,3366648656.6304784,3362560419.8034673,3441245725.1212482,3378045071.1845946,3363845185.5756593,3450540205.185231,3395808753.628795,3365353382.6720667,3404492244.459751,3364353361.742548,3379839129.3883915,3362364407.9756365,3362080118.7324243,3382075378.511936,3394351031.0048504,3363878977.0566597,3375207030.4370375,3364102886.534221,3412885456.371634,3395339509.196087,3364143600.072639,3400161888.381019,3374788902.1697125
9,9,3361425198.4482327,3377342366.395595,3365306159.5055933,3367072607.3254642,3376272489.637237,3373750323.6482353,3371443197.6339264,3362014149.5222497,3361792643.385152,3369394519.181921,3371091004.7863264,3369923955.7013445,3363080424.713269,3370693829.745049,3365353382.6720667,3397510445.9234667,3361879798.166139,3355196693.6886888,3362364407.9756365,3362080118.7324243,3365484411.9470587,3394351031.0048504,3363878977.0566597,3365648286.155881,3362924727.8068647,3379202551.592279,3365038181.7449713,3367104220.8742943,3361630717.5783796,3361523410.0767937
10,10,3361556281.4114122,3362312487.346448,3361518690.535189,3361473172.857583,3361865621.3738155,3361421405.1104264,3371443197.6339264,3361784326.9412007,3361792643.385152,3361681430.6106124,3361580008.5853496,3361969172.627707,3361771829.1749024,3363167926.309333,3362536601.906041,3363698532.698429,3361402505.6556177,3353719306.6550374,3361854270.52713,3362080118.7324243,3361982586.9490023,3367347013.579619,3360837351.435209,3362990318.2019463,3361435146.814979,3357198412.065942,3364838372.6427593,3361021104.9024487,3362945311.562653,3361523410.0767937
11,11,3361507358.910284,3353882427.1225414,3361418940.4897985,3361473172.857583,3361479167.131395,3361421405.1104264,3361414060.0381474,3361405247.6144514,3353727655.428859,3361408067.0137577,3361580008.5853496,3361419513.135799,3361578170.4291162,3366279842.6186943,3361420738.609083,3361647499.163792,3361402505.6556177,3354525136.6085486,3361468805.2129645,3361557497.3434434,3361618403.51818,3361483160.82795,3358878519.0005193,3361579645.1458673,3361401790.989049,3354205373.4371033,3361402487.1793666,3353706831.235313,3361400623.6786275,3361424131.3543468
12,12,3361419003.2484455,3361410432.8623476,3361400838.538892,3355459147.4780126,3361080081.9247074,3361403198.365542,3361400621.2642074,3361405482.0864964,3353727655.428859,3361120810.633227,3354354607.964577,3361415587.1825953,3361481089.394922,3361703610.1853085,3357896000.041589,3361419107.6088657,3361402505.6556177,3353709036.817402,3361401185.948953,3361557497.3434434,3361400371.4962864,3361401938.928253,3355013219.9269824,3359952027.012881,3354447965.998306,3354205373.4371033,3354618753.6958714,3353899783.6121883,3353808693.469273,3361407878.284916
13,13,3361402171.537689,3360182965.790154,3361403153.8256183,3355459147.4780126,3353899682.7317834,3361403053.4814086,3361400621.2642074,3361401601.018782,3353727655.428859,3353755638.4829783,3354354607.964577,3361400334.793198,3361407010.8237414,3361401285.1861057,3357896000.041589,3361405244.655742,3361400509.7283454,3353709036.817402,3359366692.857367,3361401588.2300935,3361400371.4962864,3361401938.928253,3353807256.263715,3359952027.012881,3353739001.1578474,3353762944.941263,3354618753.6958714,3353899783.6121883,3353808693.469273,3361401170.126278
14,14,3361400352.102303,3357892633.7998376,3361401909.092618,3354306930.0403457,3353899682.7317834,3356614645.270119,3361400621.2642074,3355472271.9944353,3353727655.428859,3353755638.4829783,3354354607.964577,3358574119.2297807,3361400744.99172,3361511537.3351173,3354577467.370248,3361405244.655742,3361400360.2405066,3353703144.334355,3358050191.893589,3361400330.83452,3359352118.5964274,3361401938.928253,3353726692.0107756,3354588735.2184815,3353739001.1578474,3353736778.467539,3354396197.089238,3353706519.751853,3353808693.469273,3355091449.26928
15,15,3361400346.366869,3353927566.3188934,3353774616.1399517,3353798199.4041243,3353737247.3930902,3354267924.3913813,3361400621.2642074,3355472271.9944353,3353707235.130703,3353755638.4829783,3354008290.4200687,3354645068.3355494,3361400744.99172,3361404179.243365,3353941444.8923664,3356445927.3776746,3356651099.296579,3353703144.334355,3358050191.893589,3361401018.91189,3359352118.5964274,3361401772.1264057,3353726692.0107756,3354497773.467472,3353704833.5408616,3353724087.9552684,3353703269.5438356,3353706519.751853,3353721715.7509184,3355091449.26928
16,16,3361400346.366869,3353994818.70153,3353774616.1399517,3353761393.083711,3353703661.994788,3353794677.7131734,3361400621.2642074,3355472271.9944353,3353707235.130703,3353755638.4829783,3353778438.0048175,3354645068.3355494,3361400633.20934,3361404179.243365,3353775647.582387,3356445927.3776746,3354531358.9866734,3353703475.5262938,3358050191.893589,3361401018.91189,3359352118.5964274,3361401938.928253,3353706740.282776,3354497773.467472,3353704833.5408616,3353724087.9552684,3353703269.5438356,3353706519.751853,3353703416.689066,3353779298.9445686
17,17,3361400327.4261975,3353994818.70153,3353774616.1399517,3353753875.975487,3353703661.994788,3353781989.2097044,3361400621.2642074,3355472271.9944353,3353707235.130703,3353720329.452212,3353723590.6742835,3354169238.329442,3361400409.449782,3361400639.081651,3353770069.1366687,3354067631.2851295,3356707336.251447,3353703475.5262938,3353894529.4246345,3361401018.91189,3354919185.005257,3361400810.660998,3353706740.282776,3353787082.202307,3353704833.5408616,3353711376.179888,3353703269.5438356,3353706519.751853,3353710366.180885,3353708595.8208065
18,18,3361400327.4261975,3353725499.8035846,3354442416.6716475,3353753875.975487,3353703661.994788,3353781989.2097044,3353726474.4325953,3354403737.7604384,3353706815.5602922,3353706540.815642,3353777821.0440497,3354169238.329442,3361400327.474376,3361400639.081651,3353703113.9922748,3354067631.2851295,3354573878.7021556,3353703144.334355,3359393256.4953246,3361401588.2300935,3354919185.005257,3361400810.660998,3353703105.9034243,3353754783.478525,3353704833.5408616,3353709743.184346,3353703269.5438356,3353706519.751853,3353708155.0063043,3353708595.8208065
19,19,3361400327.4261975,3353721383.7436824,3354442416.6716475,3353705718.2285914,3353703661.994788,3353731461.1117234,3353726474.4325953,3353776305.4671383,3353703300.9838176,3353703165.158853,3353734449.5174913,3353703307.284165,3361400327.474376,3361400639.081651,3353703113.9922748,3353711443.205267,3354573878.7021556,3353703144.334355,3359393256.4953246,3361401588.2300935,3354919185.005257,3361400810.660998,3353703631.845936,3353729443.0918813,3353704833.5408616,3353703160.459373,3353703269.5438356,3353703882.754709,3353706189.7492566,3353708595.8208065
20,20,3361400327.4261975,3353708835.973212,3353707338.9760036,3353703215.110969,3353703661.994788,3353731461.1117234,3353720224.9943476,3353704222.436261,3353703300.9838176,3353703165.158853,3353776611.5463843,3353703307.284165,3361400327.474376,3361400639.081651,3353703113.9922748,3353711443.205267,3353756671.399664,3353703144.334355,3353850858.3447914,3361401588.2300935,3353981518.4983544,3361400810.660998,3353703666.5237293,3353706113.271685,3353704833.5408616,3353703160.459373,3353703131.32073,3353703882.754709,3353706189.7492566,3353703757.644113
21,21,3354172129.080495,3353708835.973212,3353707338.9760036,3353703215.110969,3353703661.994788,3353704457.5545745,3353720224.9943476,3353704489.1867385,3353703300.9838176,3353703118.9292097,3353745671.4346504,3353703307.284165,3361400327.474376,3361400418.8737583,3353703113.9922748,3353703107.4458556,3353707893.4085956,3353703144.334355,3361400822.740755,3361401588.2300935,3353981518.4983544,3361400701.534303,3353703167.293704,3353703283.013744,3353704833.5408616,3353703160.459373,3353703131.32073,3353703882.754709,3353706189.7492566,3353708595.8208065
22,22,3354038010.405913,3353703534.510953,3353703905.0947294,3353703215.110969,3353703661.994788,3353703162.793804,3353708117.0452027,3353704489.1867385,3353703300.9838176,3353703118.9292097,3353714220.626557,3353703307.284165,3361400327.474376,3353751506.292822,3353703113.9922748,3353703107.4458556,3353703394.781464,3353703127.3963594,3356945623.985491,3361401018.91189,3353981518.4983544,3361400701.534303,3353703666.5237293,3353703283.013744,3353704833.5408616,3353703160.459373,3353703131.32073,3353703163.530246,3353706189.7492566,3353708595.8208065
23,23,3354038010.405913,3353703534.510953,3353703129.8827868,3353703215.110969,3353703661.994788,3353703162.793804,3353704614.528847,3353704222.436261,3353703300.9838176,3353703117.510718,3353703452.5466533,3353703307.284165,3361400327.474376,3353751506.292822,3353703113.9922748,3353703107.4458556,3353703509.5662513,3353703116.662671,3356945623.985491,3361400833.892088,3353703164.7351637,3361400513.619877,3353703666.523729,3353703283.013744,3353704237.3002124,3353703160.459373,3353703131.32073,3353703882.754709,3353706189.7492566,3353708595.8208065
24,24,3353711913.1017885,3353703534.510953,3353703129.8827868,3353703215.110969,3353703661.994788,3353703162.793804,3353703112.568968,3353704489.1867385,3353703135.503424,3353703117.510718,3353703374.758443,3353703187.331706,3361400332.187346,3353704037.251604,3353703113.9922748,3353703107.4458556,3353704290.0366654,3353703127.3963594,3354238514.9971786,3361400500.025324,3353703233.2626014,3361400701.534303,3353703181.051708,3353703127.733629,3353703364.8149133,3353703160.459373,3353703109.084451,3353703882.754709,3353703166.401275,3353708595.8208065
25,25,3353704986.0238624,3353703534.510953,3353703129.8827868,3353703215.110969,3353703661.994788,3353703113.3802295,3353703112.568968,3353704489.1867385,3353703135.503424,3353703117.510718,3353703188.7107525,3353703307.284165,3361400355.7651014,3353734943.049535,3353703113.9922748,3353703107.4458556,3353703192.824757,3353703139.9857206,3353889107.9430346,3361400833.892088,3353703896.5150743,3361400372.2456493,3353703181.051708,3353703127.733629,3353703364.8149133,3353703144.946939,3353703131.32073,3353703882.754709,3353703166.401275,3353708595.8208065
26,26,3353704986.0238624,3353703534.510953,3353703129.8827868,3353703215.110969,3353703661.994788,3353703113.3802295,3353703112.568968,3353704489.1867385,3353703135.503424,3353703113.656497,3353703452.5466533,3353703239.2156324,3361400355.7651014,3353822557.437165,3353703113.9922748,3353703107.4458556,3353703921.9026904,3353703139.9857206,3353720428.896327,3361400833.892088,3353703108.412319,3361400553.457945,3353703189.8151317,3353705015.3369966,3353703106.22265,3353703144.946939,3353703131.32073,3353703882.754709,3353703166.401275,3353705160.0368543
27,27,3353704986.0238624,3353703170.9183946,3353703129.8827868,3353703215.110969,3353703661.994788,3353703113.3802295,3353703112.568968,3353704489.1867385,3353703135.503424,3353703113.656497,3353703452.5466533,3353703239.2156324,3361400355.7651014,3353743407.214349,3353703113.9922748,3353703107.4458556,3353703138.8856874,3353703139.9857206,3353704547.1262126,3361400833.892088,3353703108.412319,3361400553.457945,3353703311.68968,3353705015.3369966,3353703106.22265,3353703144.946939,3353703131.32073,3353703882.754709,3353703166.401275,3353707311.6169267
