,gens,fit_run_0,fit_run_1,fit_run_2,fit_run_3,fit_run_4,fit_run_5,fit_run_6,fit_run_7,fit_run_8,fit_run_9,fit_run_10,fit_run_11,fit_run_12,fit_run_13,fit_run_14,fit_run_15,fit_run_16,fit_run_17,fit_run_18,fit_run_19,fit_run_20,fit_run_21,fit_run_22,fit_run_23,fit_run_24,fit_run_25,fit_run_26,fit_run_27,fit_run_28,fit_run_29
0,0,982048274.1166463,996219895.339206,842665549.763514,1304347672.799624,1346828440.4115467,896402494.0732248,536499828.04858756,623106380.7125174,2421605509.855076,633036206.2067188,996219895.339206,234751463.22607028,748246329.1215646,288633114.391333,3452055706.9819226,91242825.29059952,2813214731.6208787,549627910.3665521,996219895.339206,1698390184.8479455,538753946.4867241,563274034.1244245,996219895.339206,876452056.4274524,563274034.1244245,1342527487.496646,1491700502.52534,548205813.1751558,563274034.1244245,563274034.1244245
1,1,891970110.0209529,996219895.339206,790090969.1658932,1300704681.1226563,1004970001.115623,901867190.0822147,536499828.04858756,482772678.026307,996219895.339206,996219895.339206,15325488.337529957,996219895.339206,563274034.1244245,996219895.339206,2901059111.0564375,91242825.29059952,2562735007.7375426,547630268.161649,996219895.339206,1698390184.8479455,2251910280.4463286,563274034.1244245,996219895.339206,710762665.7243359,563274034.1244245,1342527487.496646,779803559.5449462,548205813.1751558,563274034.1244245,563274034.1244245
2,2,891970110.0209529,761073889.9732327,790090969.1658932,1012444434.3415565,1004970001.115623,896402494.0732248,536499828.04858756,482772678.026307,996212726.3297194,890295345.3201416,15325488.337529957,640505265.3371388,563274034.1244245,996219895.339206,1029899678.1896529,987510964.3325652,574824871.5956265,469789370.897644,996219895.339206,563274034.1244245,1960140292.651767,563274034.1244245,996219895.339206,710762665.7243359,563274034.1244245,671755207.4522963,779803559.5449462,582229613.8907586,563274034.1244245,563274034.1244245
3,3,854013300.7859267,996219895.339206,330413199.936112,1009457855.7856015,996219748.3112898,907361718.5458063,536499828.04858756,482772678.026307,574674349.9681975,890295345.3201416,568124341.6126193,661265536.7307632,85472420.8173649,996219895.339206,1804238441.81342,536493974.45236135,574824871.5956265,491200657.4216693,996219895.339206,2747997540.394424,996219895.339206,563274034.1244245,996219895.339206,710762665.7243359,563274034.1244245,629219042.0327504,746458801.5142572,540391576.3264538,563274034.1244245,15325488.337529957
4,4,575420961.4670858,84390252.12363182,330413199.936112,545038440.1405646,996219746.8002689,843439875.3801215,235228169.28975734,506299836.6176199,543597150.57093,890295345.3201416,996219895.339206,576820200.0068939,15325488.337529957,996219895.339206,996219895.339206,536493974.45236135,574824871.5956265,442176256.6663233,249907379.4493702,1234958833.8483524,544179568.4266047,493864979.08156323,996219895.339206,646626557.9081417,562868995.4604642,629219042.0327504,585084815.0835843,537009757.9026716,482651385.6982285,15325488.337529957
5,5,564020731.0056227,346103889.75840795,330413199.936112,545038440.1405646,926882286.2642719,563274034.1244245,235228169.28975734,453347657.92786294,543078536.0547247,563274034.1244245,987510964.3325652,578663111.1680392,15325488.337529957,996219895.339206,996219895.339206,634545065.9134262,574824871.5956265,463307275.27890337,249907379.4493702,651386742.2175379,987510964.3325652,288284971.8109828,368336406.0375077,646626557.9081417,543467460.2038324,629219042.0327504,640339896.2348408,537009757.9026716,563274034.1244245,15325488.337529957
6,6,236381275.54450062,15325488.337529957,330413199.936112,545038440.1405646,1004970001.115623,563274034.1244245,235228169.28975734,15325488.337529957,252321868.10610583,600573982.0341941,996219895.339206,578765799.366613,85472420.8173649,15325488.337529957,15325488.337529957,634545065.9134262,574824871.5956265,408181576.7458981,249907379.4493702,651386742.2175379,987510964.3325652,288284971.8109828,987510964.3325652,646626557.9081417,562868995.4604642,626800832.1717597,602351110.1242646,303429538.2533697,563274034.1244245,15325488.337529957
7,7,355924383.0800481,15325488.337529957,15325488.337529963,545038440.1405646,855751646.0654262,303903564.33125776,430474683.79417765,15325488.337529957,252321868.10610583,15325488.337529963,686540545.5634905,578765799.366613,85472420.8173649,15325488.337529957,138549989.9585746,305570546.648523,563145794.7646838,408181576.7458981,249907379.4493702,15325488.337529963,665700847.0422542,15325488.337529957,996172891.5245161,15325488.337529957,562868995.4604642,586938996.0105034,602351110.1242646,303429538.2533697,563274034.1244245,15325488.337529957
8,8,154435465.58317614,15325488.337529957,333018136.3789969,433243392.64288694,714056694.3098853,301803820.6646816,15325488.337529963,15325488.337529957,14263346.546007648,537608049.461914,15325488.337529957,575018463.6155248,85472420.8173649,15325488.337529957,138549989.9585746,305570546.648523,15325488.337529957,15325488.337529963,249907379.4493702,15325488.337529963,15325488.337529963,15325488.337529957,15325488.337529963,15325488.337529957,545125187.4661002,473436171.98139715,459730710.37024415,475264519.03662413,695307397.5758667,15209455.558908306
9,9,154435465.58317614,15325488.337529957,333018136.3789969,433243392.64288694,7038613.2295164885,178911015.52542862,105119284.48333143,14263346.546007648,14263346.546007648,258186826.0159424,15325488.337529957,603477338.6405951,15325488.337529963,15325488.337529957,94353084.70046839,506762278.8002821,15325488.337529957,15325488.337529963,249907379.4493702,14263346.546007648,16428804.898828544,15325488.337529957,15325488.337529963,15325488.337529957,545125187.4661002,14263346.546007648,431262899.01661927,474553050.86196184,16428804.898828544,14263346.546007648
